X,orig_gene,proc_gene
169,acot14,acot14
170,acot15,acot15
171,acot16,acot16
172,acot17,acot17
173,acot18,acot18
174,acot19,acot19
175,acot20,acot20
176,acot21,acot21
177,acot7,acot7
178,acot8,acot8
179,acot9.1,acot9.1
180,acot9.2,acot9.2
181,acox1,acox1
182,acox3,acox3
183,acoxl,acoxl
184,acp1,acp1
185,acp2,acp2
186,acp5a,acp5a
187,acp5b,acp5b
188,acp6,acp6
189,acp7,acp7
190,acsbg1,acsbg1
191,acsbg2,acsbg2
192,acsf2,acsf2
193,ACSF3,ACSF3
194,acsl1a,acsl1a
195,acsl1b,acsl1b
196,acsl2,acsl2
197,acsl3a,acsl3a
198,acsl3b,acsl3b
199,acsl4a,acsl4a
200,acsl4b,acsl4b
201,acsl5,acsl5
202,acsm3,acsm3
203,acss1,acss1
204,acss2,acss2
205,acss2l,acss2l
206,acss3,acss3
207,acta1a,acta1a
208,acta1b,acta1b
209,acta2,acta2
210,actb1,actb1
211,actb2,actb2
212,actc1b,actc1b
213,actc1c,actc1c
214,actl6a,actl6a
215,actl6b,actl6b
216,actn1,actn1
217,actn2a,actn2a
218,actn2b,actn2b
219,actn3a,actn3a
220,actn3b,actn3b
221,actn4,actn4
222,actr1,actr1
223,actr10,actr10
224,actr2a,actr2a
225,actr2b,actr2b
226,actr3,actr3
227,actr3b,actr3b
228,actr5,actr5
229,actr6,actr6
230,actr8,actr8
231,acvr1ba,acvr1ba
232,acvr1bb,acvr1bb
233,ACVR1C,ACVR1C
234,acvr1l,acvr1l
235,acvr2aa,acvr2aa
236,acvr2ab,acvr2ab
237,acvr2ba,acvr2ba
238,acvr2bb,acvr2bb
239,acvrl1,acvrl1
240,acy1,acy1
241,acy3.1,acy3.1
242,acy3.2,acy3.2
243,acyp1,acyp1
244,acyp2,acyp2
245,ada,ada
246,ada2a,ada2a
247,ada2b,ada2b
248,adad1,adad1
249,adad2,adad2
250,adal,adal
251,adam10a,adam10a
252,adam10b,adam10b
253,adam11,adam11
254,adam12,adam12
256,adam15,adam15
257,adam17a,adam17a
258,adam17b,adam17b
259,adam19a,adam19a
260,adam19b,adam19b
261,adam22,adam22
262,adam23a,adam23a
263,adam28,adam28
264,adam8a,adam8a
265,adam8b,adam8b
266,adam9,adam9
267,adamts1,adamts1
268,adamts10,adamts10
269,adamts12,adamts12
270,adamts13,adamts13
271,adamts14,adamts14
272,adamts15a,adamts15a
273,adamts16,adamts16
274,adamts17,adamts17
275,adamts18,adamts18
276,adamts2,adamts2
277,adamts3,adamts3
278,adamts5,adamts5
279,adamts6,adamts6
280,ADAMTS7,ADAMTS7
281,adamts8a,adamts8a
282,adamts9,adamts9
283,adamtsl2,adamtsl2
284,adamtsl3,adamtsl3
285,adamtsl5,adamtsl5
286,adamtsl7,adamtsl7
287,adap2,adap2
288,adar,adar
289,adarb1a,adarb1a
290,adarb1b,adarb1b
291,adat1,adat1
292,adat2,adat2
293,adat3,adat3
294,adck1,adck1
295,adck2,adck2
296,adck5,adck5
297,adcy1a,adcy1a
298,adcy1b,adcy1b
299,adcy2a,adcy2a
300,adcy2b,adcy2b
301,adcy3a,adcy3a
302,adcy3b,adcy3b
303,adcy5,adcy5
304,adcy6a,adcy6a
305,adcy6b,adcy6b
306,adcy7,adcy7
307,adcy8,adcy8
308,adcy9,adcy9
309,adcyap1a,adcyap1a
310,adcyap1b,adcyap1b
311,add1,add1
312,add2,add2
313,add3a,add3a
314,add3b,add3b
315,adgb,adgb
316,adgra2,adgra2
317,adgra3,adgra3
318,adgrb1a,adgrb1a
319,adgrb1b,adgrb1b
320,adgrb2,adgrb2
321,adgrb3,adgrb3
322,adgrd1,adgrd1
323,adgrd2,adgrd2
324,adgre10,adgre10
325,adgre13,adgre13
326,adgre14,adgre14
327,adgre17,adgre17
328,adgre5b.2,adgre5b.2
329,adgre5b.3,adgre5b.3
330,adgre8,adgre8
331,adgre9,adgre9
332,adgrf11,adgrf11
333,adgrf3a,adgrf3a
334,adgrf3b,adgrf3b
335,adgrf6,adgrf6
336,adgrf7,adgrf7
337,adgrf8,adgrf8
338,adgrg1,adgrg1
339,adgrg11,adgrg11
340,adgrg2a,adgrg2a
341,adgrg3,adgrg3
342,adgrg4a,adgrg4a
343,adgrg4b,adgrg4b
344,adgrg6,adgrg6
345,adgrg7.1,adgrg7.1
346,adgrg7.2,adgrg7.2
347,adgrl1.1,adgrl1.1
348,adgrl1a,adgrl1a
349,adgrl2a,adgrl2a
350,ADGRL3,ADGRL3
351,adgrl3.1,adgrl3.1
352,adgrl4,adgrl4
353,adgrv1,adgrv1
354,adh5,adh5
355,adh8a,adh8a
356,adh8b,adh8b
357,adhfe1,adhfe1
358,adi1,adi1
359,adipoqa,adipoqa
360,adipor1a,adipor1a
361,adipor1b,adipor1b
362,adipor2,adipor2
363,adka,adka
364,adkb,adkb
365,adm2b,adm2b
366,adma,adma
367,admb,admb
368,admp,admp
369,adnp2a,adnp2a
370,adnp2b,adnp2b
371,adnpa,adnpa
372,adnpb,adnpb
373,adoa,adoa
374,adob,adob
375,adora1a,adora1a
376,adora1b,adora1b
377,adora2aa,adora2aa
378,adora2ab,adora2ab
379,adora2b,adora2b
380,adpgk,adpgk
381,adpgk2,adpgk2
382,adprh,adprh
383,adprhl1,adprhl1
384,adprhl2,adprhl2
385,adprm,adprm
386,adra1ab,adra1ab
387,adra1ba,adra1ba
388,adra1bb,adra1bb
389,adra1d,adra1d
390,adra2a,adra2a
391,adra2b,adra2b
392,adra2c,adra2c
393,adra2da,adra2da
394,adrb1,adrb1
395,adrb2a,adrb2a
396,adrb2b,adrb2b
397,adrb3a,adrb3a
398,adrb3b,adrb3b
399,adrm1,adrm1
400,adsl,adsl
401,adss,adss
402,adssl,adssl
403,adssl1,adssl1
404,adtrp1,adtrp1
405,aebp1,aebp1
406,aebp2,aebp2
407,aep1,aep1
408,aes,aes
409,afap1,afap1
410,afap1l1a,afap1l1a
411,afap1l1b,afap1l1b
412,afap1l2,afap1l2
413,afdna,afdna
414,aff1,aff1
415,aff2,aff2
416,aff3,aff3
417,aff4,aff4
418,afg1la,afg1la
419,afg1lb,afg1lb
420,afg3l2,afg3l2
421,afmid,afmid
422,afp4,afp4
423,aftpha,aftpha
424,aftphb,aftphb
425,aga,aga
426,agap1,agap1
427,agap2,agap2
428,agap3,agap3
429,AGBL1,AGBL1
430,agbl2,agbl2
431,agbl4,agbl4
432,agbl5,agbl5
433,agfg1a,agfg1a
434,agfg1b,agfg1b
435,aggf1,aggf1
436,agk,agk
437,agla,agla
438,aglb,aglb
439,agmat,agmat
440,agmo,agmo
441,ago1,ago1
442,ago2,ago2
443,ago3a,ago3a
444,ago3b,ago3b
445,ago4,ago4
446,agpat2,agpat2
447,agpat3,agpat3
448,agpat4,agpat4
449,agpat5,agpat5
450,agpat9l,agpat9l
451,agps,agps
452,agr1,agr1
453,agr2,agr2
454,agrn,agrn
455,agrp,agrp
456,agt,agt
457,agtpbp1,agtpbp1
458,agtr1b,agtr1b
459,agtr2,agtr2
460,agtrap,agtrap
461,agxt2,agxt2
462,agxta,agxta
463,agxtb,agxtb
464,ahctf1,ahctf1
465,ahcy,ahcy
466,ahcyl1,ahcyl1
467,ahcyl2,ahcyl2
468,ahdc1,ahdc1
469,ahi1,ahi1
470,ahnak,ahnak
471,ahr1a,ahr1a
472,ahr1b,ahr1b
473,ahr2,ahr2
474,ahrra,ahrra
475,ahrrb,ahrrb
476,ahsa1a,ahsa1a
477,ahsa1b,ahsa1b
478,ahsg2,ahsg2
479,aicda,aicda
480,aida,aida
481,aif1l,aif1l
482,aifm1,aifm1
483,aifm2,aifm2
484,aifm3,aifm3
485,aifm4,aifm4
486,aifm5,aifm5
487,aig1,aig1
488,aimp1,aimp1
489,aimp2,aimp2
490,aip,aip
491,aipl1,aipl1
492,aipl2,aipl2
493,aire,aire
494,ajap1,ajap1
495,ajuba,ajuba
496,ak1,ak1
497,ak2,ak2
498,ak3,ak3
499,ak4,ak4
500,ak5,ak5
501,ak5l,ak5l
502,AK6,AK6
503,ak7a,ak7a
504,ak7b,ak7b
505,ak8,ak8
506,akap10,akap10
507,akap11,akap11
508,akap12a,akap12a
509,akap12b,akap12b
510,akap17a,akap17a
511,akap1a,akap1a
512,akap1b,akap1b
513,akap6,akap6
514,akap7,akap7
515,akap8l,akap8l
516,akap9,akap9
517,akip1,akip1
518,akirin1,akirin1
519,akirin2,akirin2
520,akna,akna
521,aknad1,aknad1
522,akr1a1b,akr1a1b
523,akr1b1,akr1b1
524,akr7a3,akr7a3
525,akt1,akt1
526,akt1s1,akt1s1
527,akt2,akt2
528,akt2l,akt2l
529,akt3a,akt3a
530,akt3b,akt3b
531,aktip,aktip
532,AL590134.1,AL590134.1
533,AL590146.1,AL590146.1
534,AL590150.1,AL590150.1
535,AL590151.1,AL590151.1
536,AL590151.2,AL590151.2
537,AL627126.1,AL627126.1
538,AL627258.1,AL627258.1
539,AL627305.1,AL627305.1
540,AL627305.3,AL627305.3
541,AL645691.1,AL645691.1
542,AL645691.2,AL645691.2
543,AL645792.1,AL645792.1
544,AL645792.2,AL645792.2
545,AL732488.1,AL732488.1
546,AL732515.1,AL732515.1
547,AL772146.2,AL772146.2
548,AL772219.1,AL772219.1
549,AL772241.2,AL772241.2
550,AL772300.1,AL772300.1
551,AL772314.1,AL772314.1
552,AL772362.1,AL772362.1
553,AL772373.1,AL772373.1
554,AL772382.1,AL772382.1
555,AL773558.1,AL773558.1
556,AL805905.1,AL805905.1
557,AL807792.1,AL807792.1
558,AL808129.1,AL808129.1
559,AL808129.2,AL808129.2
560,AL831726.1,AL831726.1
561,AL831726.3,AL831726.3
562,AL831745.1,AL831745.1
563,AL831745.2,AL831745.2
564,AL831745.3,AL831745.3
565,AL831768.1,AL831768.1
566,AL833789.1,AL833789.1
567,AL840638.1,AL840638.1
568,AL840638.2,AL840638.2
569,AL844141.1,AL844141.1
570,AL844186.1,AL844186.1
571,AL844192.1,AL844192.1
572,AL844518.1,AL844518.1
573,AL845295.1,AL845295.1
574,AL845295.2,AL845295.2
575,AL845320.1,AL845320.1
576,AL845320.2,AL845320.2
577,AL845324.1,AL845324.1
578,AL845330.1,AL845330.1
579,AL845357.1,AL845357.1
580,AL845365.1,AL845365.1
581,AL845419.1,AL845419.1
583,AL845550.1,AL845550.1
584,AL928650.1,AL928650.1
585,AL928650.2,AL928650.2
586,AL928650.3,AL928650.3
587,AL928650.4,AL928650.4
588,AL928657.1,AL928657.1
589,AL928685.1,AL928685.1
590,AL928685.2,AL928685.2
591,AL928685.4,AL928685.4
592,AL928707.2,AL928707.2
593,AL928707.3,AL928707.3
594,AL928714.1,AL928714.1
595,AL928724.1,AL928724.1
596,AL928808.1,AL928808.1
597,AL928824.1,AL928824.1
598,AL928835.1,AL928835.1
599,AL928854.1,AL928854.1
600,AL928875.1,AL928875.1
601,AL928908.2,AL928908.2
602,AL928908.3,AL928908.3
603,AL928920.2,AL928920.2
604,AL928920.3,AL928920.3
605,AL928920.4,AL928920.4
606,AL928927.1,AL928927.1
607,AL928951.1,AL928951.1
608,AL929009.1,AL929009.1
609,AL929009.2,AL929009.2
610,AL929017.2,AL929017.2
612,AL929028.1,AL929028.1
613,AL929032.1,AL929032.1
614,AL929048.1,AL929048.1
615,AL929105.1,AL929105.1
616,AL929114.1,AL929114.1
617,AL929171.1,AL929171.1
618,AL929182.1,AL929182.1
619,AL929192.1,AL929192.1
620,AL929210.1,AL929210.1
621,AL929210.2,AL929210.2
622,AL929216.1,AL929216.1
623,AL929217.1,AL929217.1
624,AL929220.1,AL929220.1
625,AL929222.1,AL929222.1
626,AL929222.2,AL929222.2
627,AL929237.1,AL929237.1
628,AL929237.3,AL929237.3
629,AL929243.1,AL929243.1
630,AL929266.1,AL929266.1
631,AL929276.1,AL929276.1
632,AL929304.1,AL929304.1
633,AL929307.1,AL929307.1
634,AL929309.1,AL929309.1
635,AL929315.1,AL929315.1
637,AL929378.1,AL929378.1
638,AL929396.1,AL929396.1
639,AL929435.1,AL929435.1
640,AL929453.1,AL929453.1
641,AL929457.1,AL929457.1
642,AL929493.1,AL929493.1
643,AL929523.1,AL929523.1
644,AL929536.3,AL929536.3
645,AL929536.5,AL929536.5
646,AL929536.6,AL929536.6
647,AL929576.1,AL929576.1
648,AL929586.1,AL929586.1
649,AL935044.1,AL935044.1
650,AL935044.2,AL935044.2
651,AL935044.3,AL935044.3
652,AL935044.4,AL935044.4
653,AL935065.1,AL935065.1
654,AL935115.1,AL935115.1
655,AL935117.1,AL935117.1
656,AL935126.1,AL935126.1
657,AL935126.2,AL935126.2
658,AL935144.1,AL935144.1
659,AL935145.2,AL935145.2
660,AL935153.1,AL935153.1
661,AL935166.1,AL935166.1
662,AL935174.2,AL935174.2
663,AL935174.5,AL935174.5
664,AL935183.1,AL935183.1
665,AL935184.2,AL935184.2
666,AL935186.1,AL935186.1
667,AL935186.2,AL935186.2
668,AL935186.6,AL935186.6
669,AL935198.2,AL935198.2
670,AL935199.1,AL935199.1
671,AL935292.1,AL935292.1
672,AL935294.2,AL935294.2
673,AL935295.1,AL935295.1
674,AL935295.2,AL935295.2
676,AL935300.2,AL935300.2
677,AL935300.3,AL935300.3
678,AL935334.1,AL935334.1
679,AL953841.2,AL953841.2
680,AL953866.1,AL953866.1
681,AL953875.1,AL953875.1
682,AL953886.1,AL953886.1
683,AL953886.2,AL953886.2
684,AL953896.1,AL953896.1
685,AL953907.1,AL953907.1
686,AL953907.2,AL953907.2
687,AL953910.1,AL953910.1
688,AL954129.1,AL954129.1
689,AL954134.1,AL954134.1
690,AL954134.2,AL954134.2
692,AL954138.1,AL954138.1
693,AL954142.1,AL954142.1
694,AL954142.2,AL954142.2
695,AL954142.3,AL954142.3
697,AL954145.2,AL954145.2
698,AL954146.1,AL954146.1
699,AL954149.1,AL954149.1
700,AL954191.1,AL954191.1
701,AL954317.1,AL954317.1
702,AL954322.2,AL954322.2
703,AL954322.3,AL954322.3
704,AL954327.1,AL954327.1
706,AL954666.1,AL954666.1
707,AL954669.1,AL954669.1
708,AL954672.1,AL954672.1
709,AL954694.1,AL954694.1
710,AL954694.2,AL954694.2
711,AL954695.2,AL954695.2
712,AL954695.3,AL954695.3
713,AL954696.1,AL954696.1
714,AL954696.2,AL954696.2
715,AL954698.1,AL954698.1
716,AL954698.2,AL954698.2
717,AL954703.1,AL954703.1
718,AL954741.1,AL954741.1
719,AL954741.2,AL954741.2
720,AL954831.1,AL954831.1
721,AL954832.1,AL954832.1
722,AL954861.1,AL954861.1
723,AL954861.2,AL954861.2
724,alad,alad
725,alas1,alas1
726,alas2,alas2
727,alcama,alcama
728,alcamb,alcamb
729,aldh16a1,aldh16a1
730,aldh18a1,aldh18a1
731,aldh1a2,aldh1a2
732,aldh1a3,aldh1a3
733,aldh1l1,aldh1l1
734,aldh1l2,aldh1l2
735,aldh2.1,aldh2.1
736,aldh2.2,aldh2.2
737,aldh3a1,aldh3a1
738,aldh3a2a,aldh3a2a
739,aldh3a2b,aldh3a2b
740,aldh3b1,aldh3b1
741,aldh3b2,aldh3b2
742,aldh4a1,aldh4a1
743,aldh5a1,aldh5a1
744,aldh6a1,aldh6a1
745,aldh7a1,aldh7a1
746,aldh8a1,aldh8a1
747,aldh9a1a.1,aldh9a1a.1
748,aldh9a1a.2,aldh9a1a.2
749,aldh9a1b,aldh9a1b
750,aldoaa,aldoaa
751,aldoab,aldoab
752,aldob,aldob
753,aldoca,aldoca
754,aldocb,aldocb
755,alg1,alg1
756,alg10,alg10
757,alg11,alg11
758,alg12,alg12
759,alg13,alg13
760,alg14,alg14
761,alg2,alg2
762,alg3,alg3
763,alg5,alg5
764,alg6,alg6
765,alg8,alg8
766,alg9,alg9
767,alk,alk
768,alkal1,alkal1
769,alkal2a,alkal2a
770,alkal2b,alkal2b
771,alkbh1,alkbh1
772,alkbh2,alkbh2
773,alkbh3,alkbh3
774,alkbh4,alkbh4
775,alkbh5,alkbh5
776,alkbh6,alkbh6
777,alkbh7,alkbh7
778,alkbh8,alkbh8
779,allc,allc
780,alms1,alms1
781,alox12,alox12
782,alox5a,alox5a
783,alox5ap,alox5ap
784,alox5b.1,alox5b.1
785,alox5b.2,alox5b.2
786,alox5b.3,alox5b.3
787,ALOXE3,ALOXE3
788,alp3,alp3
789,alpi.1,alpi.1
790,alpk2,alpk2
791,alpk3a,alpk3a
792,alpk3b,alpk3b
793,alpl,alpl
794,als2a,als2a
795,als2b,als2b
796,alx1,alx1
797,alx4a,alx4a
798,alx4b,alx4b
799,alyref,alyref
800,amacr,amacr
802,ambp,ambp
803,ambra1a,ambra1a
804,ambra1b,ambra1b
805,amd1,amd1
806,amdhd2,amdhd2
807,amer1,amer1
808,amer2,amer2
809,amfra,amfra
810,amfrb,amfrb
811,amh,amh
812,amigo1,amigo1
813,amigo3,amigo3
814,ammecr1,ammecr1
815,amn,amn
816,amn1,amn1
817,amot,amot
818,amotl2a,amotl2a
819,amotl2b,amotl2b
820,ampd1,ampd1
821,ampd2a,ampd2a
822,ampd2b,ampd2b
823,ampd3a,ampd3a
824,ampd3b,ampd3b
825,amph,amph
826,amt,amt
827,amy2a,amy2a
828,anapc1,anapc1
829,anapc10,anapc10
830,anapc11,anapc11
831,anapc13,anapc13
832,anapc15,anapc15
833,anapc16,anapc16
834,anapc2,anapc2
835,anapc4,anapc4
836,anapc5,anapc5
837,anapc7,anapc7
838,and1,and1
839,and2,and2
840,and3,and3
841,angel1,angel1
842,angel2,angel2
843,angpt1,angpt1
844,angpt2a,angpt2a
845,angpt2b,angpt2b
846,angpt4,angpt4
847,angptl1a,angptl1a
848,angptl1b,angptl1b
849,angptl2a,angptl2a
850,angptl2b,angptl2b
851,angptl3,angptl3
852,angptl4,angptl4
853,angptl5,angptl5
854,angptl6,angptl6
855,angptl7,angptl7
856,ank1a,ank1a
857,ank1b,ank1b
858,ank2a,ank2a
859,ank2b,ank2b
860,ank3a,ank3a
861,ank3b,ank3b
862,ankar,ankar
863,ankdd1a,ankdd1a
864,ankdd1b,ankdd1b
865,ankef1a,ankef1a
866,ankef1b,ankef1b
867,ANKFN1,ANKFN1
868,ankfy1,ankfy1
869,ankha,ankha
870,ankhb,ankhb
871,ankhd1,ankhd1
872,ankib1a,ankib1a
873,ankib1b,ankib1b
874,ankk1,ankk1
875,ankle2,ankle2
876,ankmy1,ankmy1
877,ankmy2a,ankmy2a
878,ankmy2b,ankmy2b
879,ankra2,ankra2
880,ankrd10a,ankrd10a
881,ankrd10b,ankrd10b
882,ankrd11,ankrd11
883,ankrd12,ankrd12
884,ankrd13a,ankrd13a
885,ankrd13b,ankrd13b
886,ankrd13c,ankrd13c
887,ankrd13d,ankrd13d
888,ankrd16,ankrd16
889,ankrd1a,ankrd1a
890,ankrd1b,ankrd1b
891,ankrd22,ankrd22
892,ankrd24,ankrd24
893,ankrd28b,ankrd28b
894,ankrd29,ankrd29
895,ankrd31,ankrd31
896,ankrd33aa,ankrd33aa
897,ankrd33ab,ankrd33ab
898,ankrd33ba,ankrd33ba
899,ankrd33bb,ankrd33bb
900,ankrd34a,ankrd34a
901,ankrd34bb,ankrd34bb
902,ankrd37,ankrd37
903,ankrd39,ankrd39
904,ankrd40,ankrd40
905,ankrd44,ankrd44
906,ankrd45,ankrd45
907,ankrd46a,ankrd46a
908,ankrd46b,ankrd46b
909,ankrd49,ankrd49
910,ANKRD50,ANKRD50
911,ankrd50l,ankrd50l
912,ankrd52a,ankrd52a
913,ankrd52b,ankrd52b
914,ankrd54,ankrd54
915,ankrd55,ankrd55
916,ankrd63,ankrd63
917,ANKRD66,ANKRD66
918,ankrd6a,ankrd6a
919,ankrd6b,ankrd6b
920,ankrd9,ankrd9
921,anks1aa,anks1aa
922,anks1ab,anks1ab
923,anks1b,anks1b
924,anks3,anks3
925,anks6,anks6
926,ankzf1,ankzf1
927,anln,anln
928,ano1,ano1
929,ano10a,ano10a
930,ano10b,ano10b
931,ano11,ano11
932,ano2,ano2
933,ano3,ano3
934,ano5a,ano5a
935,ano5b,ano5b
936,ano6,ano6
937,ANO7,ANO7
938,ano8a,ano8a
939,ano8b,ano8b
940,ano9b,ano9b
941,anos1a,anos1a
942,anos1b,anos1b
943,anp32a,anp32a
944,anp32b,anp32b
945,anp32e,anp32e
946,ANPEP,ANPEP
947,anpepa,anpepa
948,anpepb,anpepb
949,antxr1a,antxr1a
950,antxr1b,antxr1b
951,antxr1c,antxr1c
952,antxr1d,antxr1d
953,antxr2a,antxr2a
954,ANXA1,ANXA1
955,anxa11a,anxa11a
956,anxa11b,anxa11b
957,anxa13,anxa13
958,anxa13l,anxa13l
959,anxa1a,anxa1a
960,anxa1b,anxa1b
961,anxa1c,anxa1c
962,anxa2a,anxa2a
963,anxa2b,anxa2b
964,anxa3a,anxa3a
965,anxa3b,anxa3b
966,anxa4,anxa4
967,anxa5a,anxa5a
968,anxa5b,anxa5b
969,anxa6,anxa6
970,aoc2,aoc2
971,aox5,aox5
972,aox6,aox6
973,ap1ar,ap1ar
974,ap1b1,ap1b1
975,ap1g1,ap1g1
976,ap1g2,ap1g2
977,ap1m2,ap1m2
978,ap1m3,ap1m3
979,ap1s1,ap1s1
980,ap1s2,ap1s2
981,ap1s3a,ap1s3a
982,ap1s3b,ap1s3b
983,ap2a1,ap2a1
984,ap2b1,ap2b1
985,ap2m1a,ap2m1a
986,ap2m1b,ap2m1b
987,ap2s1,ap2s1
988,AP3B2,AP3B2
989,ap3d1,ap3d1
990,ap3m1,ap3m1
991,ap3m2,ap3m2
992,ap3s2,ap3s2
993,ap4b1,ap4b1
994,ap4e1,ap4e1
995,ap4m1,ap4m1
996,ap4s1,ap4s1
997,ap5b1,ap5b1
998,ap5m1,ap5m1
999,ap5s1,ap5s1
1000,ap5z1,ap5z1
1001,apaf1,apaf1
1002,apba1a,apba1a
1003,apba1b,apba1b
1004,apba2a,apba2a
1005,apba2b,apba2b
1006,APBA3,APBA3
1007,apbb1,apbb1
1008,apbb1ip,apbb1ip
1009,apbb2b,apbb2b
1010,apbb3,apbb3
1011,apc,apc
1012,apc2,apc2
1013,apcdd1l,apcdd1l
1014,apeh,apeh
1015,apela,apela
1016,apex1,apex1
1017,apex2,apex2
1018,aph1b,aph1b
1019,api5,api5
1020,apip,apip
1021,apln,apln
1022,aplnr2,aplnr2
1023,aplnra,aplnra
1024,aplnrb,aplnrb
1025,aplp1,aplp1
1026,aplp2,aplp2
1027,apmap,apmap
1028,apnl,apnl
1029,apoa1a,apoa1a
1030,apoa1b,apoa1b
1031,apoa2,apoa2
1032,apoa4a,apoa4a
1033,apoa4b.1,apoa4b.1
1034,apoa4b.2,apoa4b.2
1035,apoba,apoba
1036,apobb.1,apobb.1
1037,apobb.2,apobb.2
1038,apobec2a,apobec2a
1039,apobec2b,apobec2b
1040,apoc1,apoc1
1041,apoc2,apoc2
1042,apoda.1,apoda.1
1043,apoda.2,apoda.2
1044,apodb,apodb
1045,apoea,apoea
1046,apoeb,apoeb
1047,apof,apof
1048,apol1,apol1
1049,apom,apom
1050,apooa,apooa
1051,apoob,apoob
1052,apool,apool
1053,apopt1,apopt1
1054,appa,appa
1055,appb,appb
1056,appbp2,appbp2
1057,appl1,appl1
1058,aprt,aprt
1059,aptx,aptx
1060,aqp10a,aqp10a
1061,aqp10b,aqp10b
1062,aqp11,aqp11
1063,aqp12,aqp12
1064,aqp1a.1,aqp1a.1
1065,aqp1a.2,aqp1a.2
1066,aqp3a,aqp3a
1067,aqp4,aqp4
1068,aqp7,aqp7
1069,aqp8a.1,aqp8a.1
1070,aqp8a.2,aqp8a.2
1071,aqp8b,aqp8b
1072,aqp9b,aqp9b
1073,aqr,aqr
1074,ar,ar
1075,araf,araf
1076,arap1,arap1
1077,arap1a,arap1a
