,orig_gene,proc_gene
104,bcap29,bcap29
105,slco1c1,slco1c1
106,pde3a,pde3a
107,aebp2,aebp2
108,plekha5,plekha5
109,CABZ01085700.1,CABZ01085700.1
110,fgd4b,fgd4b
111,pik3cg,pik3cg
112,nampta,nampta
113,sypl1,sypl1
114,CU928083.1,CU928083.1
115,atxn7l1,atxn7l1
116,CU928073.1,CU928073.1
117,znf800b,znf800b
118,grm8a,grm8a
119,si:dkey-61f9.1,sidkey61f9.1
120,si:dkey-61f9.1-1,sidkey61f9.1-1
121,gpr37b,gpr37b
122,waslb,waslb
123,lmod2b,lmod2b
124,asb15b,asb15b
125,CT009596.1,CT009596.1
126,CR293509.1,CR293509.1
127,smkr1,smkr1
128,cd9b,cd9b
129,ano2b,ano2b
130,CU468826.1,CU468826.1
131,CU468826.2,CU468826.2
132,CU468826.3,CU468826.3
133,ntf3,ntf3
134,tbc1d30,tbc1d30
135,gnsa,gnsa
136,FP102892.1,FP102892.1
137,zgc:194209,zgc194209
138,rassf3,rassf3
139,FP236161.1,FP236161.1
140,CABZ01020840.1,CABZ01020840.1
141,DGKI,DGKI
142,CABZ01020834.1,CABZ01020834.1
143,creb3l2,creb3l2
144,ssbp1,ssbp1
145,si:ch211-258f14.2,sich211258f14.2
146,zgc:162331,zgc162331
147,slc13a4,slc13a4
148,coa6,coa6
149,ptprz1b,ptprz1b
150,ndufa5,ndufa5
151,CU468917.1,CU468917.1
152,CU468915.1,CU468915.1
153,strip2,strip2
154,ahcyl2b,ahcyl2b
155,tmem209,tmem209
156,ccnd2b,ccnd2b
157,tigarb,tigarb
158,fgf6b,fgf6b
159,fgf23,fgf23
160,rad51ap1,rad51ap1
161,galnt8b.1,galnt8b.1
162,galnt8b.2,galnt8b.2
163,ada2b,ada2b
164,atp6v1e1b,atp6v1e1b
165,si:ch211-214j24.14,sich211214j24.14
166,ccdc167,ccdc167
167,snap91b,snap91b
168,si:ch211-214j24.15,sich211214j24.15
169,si:ch211-214j24.10,sich211214j24.10
170,osgep,osgep
171,apex1,apex1
172,zgc:113263,zgc113263
173,si:dkey-14d8.1,sidkey14d8.1
174,selenoo2,selenoo2
175,si:dkey-14d8.20,sidkey14d8.20
176,BX324164.1,BX324164.1
177,BX324164.4,BX324164.4
178,BX324164.2,BX324164.2
179,si:dkey-14d8.22,sidkey14d8.22
180,BX324164.3,BX324164.3
181,BX324164.5,BX324164.5
182,mapk11,mapk11
183,mapk12b,mapk12b
184,si:dkey-14d8.6,sidkey14d8.6
185,si:dkey-14d8.7,sidkey14d8.7
186,vegfab,vegfab
187,mrps18a,mrps18a
188,rsph9,rsph9
189,tmem63a,tmem63a
190,pou3f2a,pou3f2a
191,faxca,faxca
192,ccnc,ccnc
193,ngs,ngs
194,pgm3,pgm3
195,si:ch73-352p4.8,sich73352p4.8
196,foxm1,foxm1
197,CU571169.1,CU571169.1
198,si:ch73-352p4.5,sich73352p4.5
199,pex26,pex26
200,usp18,usp18
201,lyrm5a,lyrm5a
202,slc5a8,slc5a8
203,utp20,utp20
204,arl1,arl1
205,tfec,tfec
206,MDFIC,MDFIC
207,CR356233.2,CR356233.2
208,CR356233.1,CR356233.1
209,foxp2,foxp2
210,ppp1r3aa,ppp1r3aa
211,si:dkey-112e7.2,sidkey112e7.2
212,gpr85,gpr85
213,BX950217.1,BX950217.1
214,tmem168a,tmem168a
215,ifrd1,ifrd1
216,dock4b,dock4b
217,CR388190.2,CR388190.2
218,CR388190.1,CR388190.1
219,FO681360.1,FO681360.1
220,FO681358.1,FO681358.1
221,FO681358.2,FO681358.2
222,lrrn3b,lrrn3b
223,CR354372.1,CR354372.1
224,si:ch211-170p16.1,sich211170p16.1
225,tnni4a,tnni4a
226,cald1a,cald1a
227,tnnt2e,tnnt2e
228,BX649411.2,BX649411.2
229,BX649411.1,BX649411.1
230,lta4h,lta4h
231,elk3,elk3
232,BX649411.3,BX649411.3
233,cdk17,cdk17
234,si:ch1073-67j19.1,sich107367j19.1
235,si:ch1073-67j19.2,sich107367j19.2
236,phyh,phyh
237,ucmaa,ucmaa
238,mcm10,mcm10
239,nudt5,nudt5
240,cdc123,cdc123
241,camk1da,camk1da
242,ccdc3a,ccdc3a
243,optn,optn
244,si:ch211-240l19.8,sich211240l19.8
245,si:ch211-240l19.7,sich211240l19.7
246,si:ch211-240l19.6,sich211240l19.6
247,si:ch211-240l19.5,sich211240l19.5
248,wnk1b,wnk1b
249,CU695020.2,CU695020.2
250,CU695020.1,CU695020.1
251,ninj2,ninj2
252,ERC1,ERC1
253,erc1b,erc1b
254,BX649324.3,BX649324.3
255,wnt5b,wnt5b
256,BX649324.1,BX649324.1
257,fbxl14b,fbxl14b
258,BX649324.2,BX649324.2
259,adipor2,adipor2
260,BX842699.1,BX842699.1
261,ttll12,ttll12
262,pnpla3,pnpla3
263,sult4a1,sult4a1
264,mpped1,mpped1
265,scube1,scube1
266,samm50l,samm50l
267,aldh1l2,aldh1l2
268,si:dkey-48p11.3,sidkey48p11.3
269,slc41a2b,slc41a2b
270,chst11,chst11
271,nfyba,nfyba
272,hcfc2,hcfc2
273,avpr1ab,avpr1ab
274,srgap1b,srgap1b
275,C4H12orf66,C4H12orf66
276,ipo8,ipo8
277,tmtc1,tmtc1
278,zgc:55888,zgc55888
279,lmf2b,lmf2b
280,kitlgb,kitlgb
281,si:ch73-139j3.4,sich73139j3.4
282,lsm8,lsm8
283,tymp,tymp
284,shank3b,shank3b
285,cdnf,cdnf
286,hspa14,hspa14
287,dclre1c,dclre1c
288,meig1,meig1
289,tmem243b,tmem243b
290,BX901962.2,BX901962.2
291,BX901962.3,BX901962.3
292,BX901962.1,BX901962.1
293,dmtf1,dmtf1
294,ELAPOR2,ELAPOR2
295,BX901962.4,BX901962.4
296,tspan9b,tspan9b
297,mical3b,mical3b
298,svopl,svopl
299,si:dkeyp-27e10.3,sidkeyp27e10.3
300,parp12b,parp12b
301,ttc41,ttc41
302,hsp90b1,hsp90b1
303,glt8d2,glt8d2
304,fbxo18,fbxo18
305,adm2a,adm2a
306,si:dkey-22l11.6,sidkey22l11.6
307,sbf1,sbf1
308,naf1,naf1
309,ccdc136b,ccdc136b
310,flncb,flncb
311,kcnd2,kcnd2
312,tspan12,tspan12
313,ing3,ing3
314,cped1,cped1
315,BX897748.1,BX897748.1
316,wnt16,wnt16
317,stab2,stab2
318,CR383662.2,CR383662.2
319,CR383662.8,CR383662.8
320,CR383662.6,CR383662.6
321,CR383662.7,CR383662.7
322,CR383662.3,CR383662.3
323,CR383662.1,CR383662.1
324,CR383662.5,CR383662.5
325,ppfibp1a,ppfibp1a
326,CR383662.4,CR383662.4
327,syt10,syt10
328,si:ch211-161n3.5,sich211161n3.5
329,si:ch211-161n3.4,sich211161n3.4
330,si:ch211-161n3.3,sich211161n3.3
331,tmtc2a,tmtc2a
332,mettl25,mettl25
333,ccdc59,ccdc59
334,si:dkey-21h14.8,sidkey21h14.8
335,si:dkey-21h14.15,sidkey21h14.15
336,si:dkey-21h14.12,sidkey21h14.12
337,si:dkey-21h14.3,sidkey21h14.3
338,si:dkey-21h14.12-1,sidkey21h14.12-1
339,si:dkey-21h14.12-2,sidkey21h14.12-2
340,si:dkey-21h14.10,sidkey21h14.10
341,BX784029.1,BX784029.1
342,si:dkey-21h14.9,sidkey21h14.9
343,cracr2ab,cracr2ab
344,prmt8b,prmt8b
345,tspan11,tspan11
346,BX784029.2,BX784029.2
347,BX784029.3,BX784029.3
348,BX649349.2,BX649349.2
349,BX649349.1,BX649349.1
350,sema3aa,sema3aa
351,pcloa,pcloa
352,pimr173,pimr173
353,ankrd16,ankrd16
354,gdi2,gdi2
355,asb13a.1,asb13a.1
356,asb13a.2,asb13a.2
357,BX465862.5,BX465862.5
358,net1,net1
359,ENSDARG00000081841,ENSDARG00000081841
360,dre-mir-29b-2,dre-mir-29b-2
361,BX465862.4,BX465862.4
362,mkln1,mkln1
363,podxl,podxl
364,BX465862.3,BX465862.3
365,BX465862.2,BX465862.2
366,BX899181.1,BX899181.1
367,BX649350.2,BX649350.2
368,BX649350.1,BX649350.1
369,cyb5r3,cyb5r3
370,btbd11a,btbd11a
371,BX005210.1,BX005210.1
372,cry1a,cry1a
373,tnnt2c,tnnt2c
374,si:dkey-222f8.3,sidkey222f8.3
375,braf,braf
376,mrps33,mrps33
377,tmem178b,tmem178b
378,CR792454.1,CR792454.1
379,cnot4b,cnot4b
380,mkrn1,mkrn1
381,tmem121b,tmem121b
382,il17ra1a,il17ra1a
383,pimr214,pimr214
384,pimr171,pimr171
385,pimr170,pimr170
386,pimr168,pimr168
387,pimr169,pimr169
388,rergla,rergla
389,arhgef39,arhgef39
390,AL844512.1,AL844512.1
391,lmo3,lmo3
392,AL954848.1,AL954848.1
393,mgst1.1,mgst1.1
394,mgst1.2,mgst1.2
395,dera,dera
396,helb,helb
397,irak3,irak3
398,b2m,b2m
399,hmga2,hmga2
400,BX119963.4,BX119963.4
401,msrb3,msrb3
402,lemd3,lemd3
403,wif1,wif1
404,vhll,vhll
405,tmbim4,tmbim4
406,BX119963.3,BX119963.3
407,si:dkey-6a5.3,sidkey6a5.3
408,BX119963.2,BX119963.2
409,BX119963.1,BX119963.1
410,grip1,grip1
411,BX470116.1,BX470116.1
412,cand1,cand1
413,si:dkey-39a18.1,sidkey39a18.1
414,dyrk2,dyrk2
415,si:ch211-266a5.12,sich211266a5.12
416,ifng1,ifng1
417,ifng1r,ifng1r
418,il26,il26
419,il22,il22
420,mdm1,mdm1
421,calua,calua
422,opn1sw1,opn1sw1
423,dre-mir-729,dre-mir-729
424,tnpo3,tnpo3
425,irf5,irf5
426,ccdc87,ccdc87
427,pnpla8,pnpla8
428,si:dkeyp-81f3.4,sidkeyp81f3.4
429,nrcama,nrcama
430,BX897729.1,BX897729.1
431,cntn1b,cntn1b
432,pdzrn4,pdzrn4
433,gxylt1b,gxylt1b
434,pphln1,pphln1
435,yaf2,yaf2
436,zcrb1,zcrb1
437,prickle1b,prickle1b
438,CU469420.1,CU469420.1
439,CU469420.3,CU469420.3
440,CU469420.2,CU469420.2
441,CU469420.4,CU469420.4
442,si:dkey-234l24.1,sidkey234l24.1
443,CR786571.2,CR786571.2
444,si:dkey-234l24.7,sidkey234l24.7
445,CR786571.3,CR786571.3
446,CR786571.4,CR786571.4
447,CR786571.1,CR786571.1
448,si:dkey-234l24.8,sidkey234l24.8
449,pus7l,pus7l
450,twf1b,twf1b
451,nell2b,nell2b
452,prl2,prl2
453,nuak1a,nuak1a
454,BX571705.1,BX571705.1
455,si:dkey-261e22.4,sidkey261e22.4
456,plxnb2a,plxnb2a
457,plxnb2a-1,plxnb2a-1
458,si:ch211-127b11.1,sich211127b11.1
459,si:dkey-183c2.4,sidkey183c2.4
460,abcc9,abcc9
461,BX571719.3,BX571719.3
462,kcnj8,kcnj8
463,BX571719.2,BX571719.2
464,cmasa,cmasa
465,BX571719.4,BX571719.4
466,BX571719.1,BX571719.1
467,shisal1a,shisal1a
468,si:dkey-14k9.3,sidkey14k9.3
469,akr1b1.1,akr1b1.1
470,akr1b1.2,akr1b1.2
471,prdm4,prdm4
472,psmc2,psmc2
473,slc26a5,slc26a5
474,tspan33a,tspan33a
475,smo,smo
476,cax1,cax1
477,klhdc10,klhdc10
478,BX571796.1,BX571796.1
479,zc3hc1,zc3hc1
480,ube2h,ube2h
481,dre-mir-183,dre-mir-183
482,ENSDARG00000083126,ENSDARG00000083126
483,dre-mir-182,dre-mir-182
484,nrf1,nrf1
485,AL590150.2,AL590150.2
486,BX537358.1,BX537358.1
487,plxna4,plxna4
488,chchd3a,chchd3a
489,exoc4,exoc4
490,BX470240.1,BX470240.1
491,lrguk,lrguk
492,col7a1l,col7a1l
493,si:dkey-117n7.2,sidkey117n7.2
494,si:dkey-117n7.3,sidkey117n7.3
495,si:dkey-117n7.4,sidkey117n7.4
496,si:dkey-117n7.5,sidkey117n7.5
497,ucn3l,ucn3l
498,copg2,copg2
499,mest,mest
500,CR749763.5,CR749763.5
501,CR749763.4,CR749763.4
502,CR749763.2,CR749763.2
503,CR749763.3,CR749763.3
504,CR749763.1,CR749763.1
505,CR749763.6,CR749763.6
506,CR749763.7,CR749763.7
507,BX649423.2,BX649423.2
508,BX649423.1,BX649423.1
509,atp2b1a,atp2b1a
510,BX649423.3,BX649423.3
511,si:dkeyp-38g8.5,sidkeyp38g8.5
512,epyc,epyc
513,BX322608.1,BX322608.1
514,kera,kera
515,lum,lum
516,dcn,dcn
517,wu:fc23c09,wufc23c09
518,btg1,btg1
519,caprin2,caprin2
520,sinhcaf,sinhcaf
521,dennd5b,dennd5b
522,pkp2,pkp2
523,tcp11l2,tcp11l2
524,BX649500.1,BX649500.1
525,BX649476.1,BX649476.1
526,gys2,gys2
527,STMP1,STMP1
528,golt1ba,golt1ba
529,spx,spx
530,kiss2,kiss2
531,ldhba,ldhba
532,slc25a3a,slc25a3a
533,tmpoa,tmpoa
534,strap,strap
535,etnk1,etnk1
536,sox5,sox5
537,CR792413.1,CR792413.1
538,BX547928.1,BX547928.1
539,si:dkey-172o10.8,sidkey172o10.8
540,casc1,casc1
541,lrmp,lrmp
542,bcat1,bcat1
543,igf1,igf1
544,nup37,nup37
545,pmch,pmch
546,parpbp,parpbp
547,BX510924.1,BX510924.1
548,th2,th2
549,pah,pah
550,ascl1a,ascl1a
551,recql,recql
552,itfg2,itfg2
553,nrip2,nrip2
554,klhl42,klhl42
555,cwf19l1,cwf19l1
556,BX890572.2,BX890572.2
557,washc3,washc3
558,dram1,dram1
559,gnptab,gnptab
560,chpt1,chpt1
561,mybpc1,mybpc1
562,BX890572.1,BX890572.1
563,CT868708.1,CT868708.1
564,spi2,spi2
565,spic,spic
566,dnajb9b,dnajb9b
567,avpr2l,avpr2l
568,apaf1,apaf1
569,anks1b,anks1b
570,BX901882.1,BX901882.1
571,uhrf1bp1l,uhrf1bp1l
572,plxnc1,plxnc1
573,cradd,cradd
574,BX649398.2,BX649398.2
575,socs2,socs2
576,ncaph2,ncaph2
577,sco2,sco2
578,BX649398.3,BX649398.3
579,si:dkey-202b22.5,sidkey202b22.5
580,si:dkey-202b22.6,sidkey202b22.6
581,rint1,rint1
582,BX649398.1,BX649398.1
583,cdkn1ba,cdkn1ba
584,CDPF1,CDPF1
585,pparaa,pparaa
586,dre-let-7b,dre-let-7b
587,dre-let-7a-3,dre-let-7a-3
588,wnt7ba,wnt7ba
589,atxn10,atxn10
590,def6c,def6c
591,slc26a4,slc26a4
592,slc26a3.2,slc26a3.2
593,slc26a3.1,slc26a3.1
594,cbll1,cbll1
595,mcat,mcat
596,bik,bik
597,mcat-1,mcat-1
598,rap1b,rap1b
599,BX649534.1,BX649534.1
600,si:dkey-31f5.8,sidkey31f5.8
601,impdh1b,impdh1b
602,si:dkey-31f5.11,sidkey31f5.11
603,lepb,lepb
604,dre-mir-129-1,dre-mir-129-1
605,BX649263.1,BX649263.1
606,si:dkey-21o22.2,sidkey21o22.2
607,snd1,snd1
608,lrrc4.1,lrrc4.1
609,pax4,pax4
610,hgfa,hgfa
611,cacna2d1a,cacna2d1a
612,BX323820.1,BX323820.1
613,drd4-rs,drd4-rs
614,BX855618.1,BX855618.1
615,zgc:193726,zgc193726
616,atp6v1f,atp6v1f
617,lamtor4,lamtor4
618,gcc1,gcc1
619,dennd6b,dennd6b
620,ppp6r2a,ppp6r2a
621,fam3c,fam3c
622,si:dkey-159a18.1,sidkey159a18.1
623,cep83,cep83
624,lrrc17,lrrc17
625,sinup,sinup
626,ccdc146,ccdc146
627,fgl2a,fgl2a
628,gsap,gsap
629,stk38l,stk38l
630,cacna2d4a,cacna2d4a
631,lrtm2a,lrtm2a
632,cacna2d4a-1,cacna2d4a-1
633,dcp1b,dcp1b
634,cacna1c,cacna1c
635,BX248410.1,BX248410.1
636,napepld,napepld
637,ints13,ints13
638,rassf8b,rassf8b
639,BX248410.5,BX248410.5
640,zmp:0000000650,zmp0000000650
641,BX248410.4,BX248410.4
642,BX248410.2,BX248410.2
643,BX248410.3,BX248410.3
644,nav3,nav3
645,syt1a,syt1a
646,pawr,pawr
647,ppp1r12a,ppp1r12a
648,BX569790.3,BX569790.3
649,rps16,rps16
650,BX569790.1,BX569790.1
651,BX569790.2,BX569790.2
652,myf6,myf6
653,myf5,myf5
654,BX537156.1,BX537156.1
655,lin7a,lin7a
656,BX537308.2,BX537308.2
657,acss3,acss3
658,ppfia2,ppfia2
659,BX537308.1,BX537308.1
660,BX537162.1,BX537162.1
661,llph,llph
662,hcls1,hcls1
663,golgb1,golgb1
664,guca1a,guca1a
665,orc5,orc5
666,lhfpl3,lhfpl3
667,kmt2e,kmt2e
668,ndufb2,ndufb2
669,kdm7aa,kdm7aa
670,BX537168.1,BX537168.1
671,sema3c,sema3c
672,cd36,cd36
673,gnai1,gnai1
674,nup107,nup107
675,magi2a,magi2a
676,slc35e3,slc35e3
677,AL935183.1,AL935183.1
678,mdm2,mdm2
679,trhde.2,trhde.2
680,AL929141.1,AL929141.1
681,AL935196.1,AL935196.1
682,CR394543.1,CR394543.1
683,trhde.2-1,trhde.2-1
684,AL929006.1,AL929006.1
685,cpm,cpm
686,usp6nl,usp6nl
687,celf2,celf2
688,gata3,gata3
689,taf3,taf3
690,atp5f1c,atp5f1c
691,kin,kin
692,itih2,itih2
693,itih5,itih5
694,tmem110l,tmem110l
695,sfmbt2,sfmbt2
696,prkcq,prkcq
697,pfkfb3,pfkfb3
698,rbm17,rbm17
699,il15ra,il15ra
700,acot14,acot14
701,acot15,acot15
702,acot16,acot16
703,acot17,acot17
704,acot18,acot18
705,lamb1b,lamb1b
706,tmcc3,tmcc3
707,ndufa12,ndufa12
708,nr2c1,nr2c1
709,BX640593.1,BX640593.1
710,fgd6,fgd6
711,vezt,vezt
712,metap2a,metap2a
713,CT573048.1,CT573048.1
714,usp44,usp44
715,DEPDC4,DEPDC4
716,SCYL2,SCYL2
717,si:ch211-244b2.3,sich211244b2.3
718,si:ch211-244b2.4,sich211244b2.4
719,BX957270.1,BX957270.1
720,st8sia1,st8sia1
721,tnni1d,tnni1d
722,b4galnt3a,b4galnt3a
723,CU137645.1,CU137645.1
724,CU137645.2,CU137645.2
725,iqsec3a,iqsec3a
726,BX088697.1,BX088697.1
727,slc6a1l,slc6a1l
728,CR749777.1,CR749777.1
729,creld2,creld2
730,alg12,alg12
731,zbed4,zbed4
732,brd1a,brd1a
733,CR751234.1,CR751234.1
734,tafa5a,tafa5a
735,tbc1d22a,tbc1d22a
736,cerk,cerk
737,gramd4a,gramd4a
738,CT583696.1,CT583696.1
739,celsr1a,celsr1a
740,trmu,trmu
741,si:ch73-263o4.3,sich73263o4.3
742,si:ch73-263o4.4,sich73263o4.4
743,tprkb,tprkb
744,alg10,alg10
745,CU694442.1,CU694442.1
746,znf1041,znf1041
747,CU694442.2,CU694442.2
748,znf1067,znf1067
749,si:ch73-289h5.5,sich73289h5.5
750,si:ch73-289h5.4,sich73289h5.4
751,FO704886.1,FO704886.1
752,dre-mir-430c-1,dre-mir-430c-1
753,dre-mir-430b-4,dre-mir-430b-4
754,dre-mir-430a-4,dre-mir-430a-4
755,dre-mir-430c-1-1,dre-mir-430c-1-1
756,dre-mir-430b-10,dre-mir-430b-10
757,dre-mir-430a-2,dre-mir-430a-2
758,dre-mir-430c-1-2,dre-mir-430c-1-2
759,dre-mir-430b-10-1,dre-mir-430b-10-1
760,dre-mir-430a-4-1,dre-mir-430a-4-1
761,dre-mir-430c-1-3,dre-mir-430c-1-3
762,dre-mir-430b-1,dre-mir-430b-1
763,dre-mir-430a-2-1,dre-mir-430a-2-1
764,dre-mir-430c-1-4,dre-mir-430c-1-4
765,dre-mir-430b-6,dre-mir-430b-6
766,dre-mir-430a-4-2,dre-mir-430a-4-2
767,dre-mir-430c-1-5,dre-mir-430c-1-5
768,dre-mir-430b-10-2,dre-mir-430b-10-2
769,dre-mir-430a-16,dre-mir-430a-16
770,dre-mir-430b-9,dre-mir-430b-9
771,dre-mir-430a-2-2,dre-mir-430a-2-2
772,dre-mir-430c-1-6,dre-mir-430c-1-6
773,dre-mir-430b-10-3,dre-mir-430b-10-3
774,dre-mir-430c-1-7,dre-mir-430c-1-7
775,dre-mir-430b-1-1,dre-mir-430b-1-1
776,dre-mir-430a-2-3,dre-mir-430a-2-3
777,dre-mir-430c-1-8,dre-mir-430c-1-8
778,dre-mir-430b-6-1,dre-mir-430b-6-1
779,dre-mir-430a-11,dre-mir-430a-11
780,dre-mir-430c-1-9,dre-mir-430c-1-9
781,dre-mir-430b-10-4,dre-mir-430b-10-4
782,dre-mir-430c-1-10,dre-mir-430c-1-10
783,dre-mir-430b-18,dre-mir-430b-18
784,dre-mir-430a-2-4,dre-mir-430a-2-4
785,dre-mir-430c-1-11,dre-mir-430c-1-11
786,dre-mir-430b-10-5,dre-mir-430b-10-5
787,dre-mir-430a-16-1,dre-mir-430a-16-1
788,dre-mir-430b-9-1,dre-mir-430b-9-1
789,dre-mir-430a-2-5,dre-mir-430a-2-5
790,dre-mir-430c-1-12,dre-mir-430c-1-12
791,dre-mir-430b-10-6,dre-mir-430b-10-6
792,dre-mir-430c-1-13,dre-mir-430c-1-13
793,dre-mir-430b-18-1,dre-mir-430b-18-1
794,dre-mir-430a-2-6,dre-mir-430a-2-6
795,dre-mir-430c-1-14,dre-mir-430c-1-14
796,dre-mir-430b-10-7,dre-mir-430b-10-7
797,dre-mir-430a-4-3,dre-mir-430a-4-3
798,dre-mir-430c-1-15,dre-mir-430c-1-15
799,dre-mir-430b-1-2,dre-mir-430b-1-2
800,dre-mir-430a-2-7,dre-mir-430a-2-7
801,dre-mir-430c-1-16,dre-mir-430c-1-16
802,dre-mir-430b-6-2,dre-mir-430b-6-2
803,dre-mir-430a-4-4,dre-mir-430a-4-4
804,dre-mir-430c-1-17,dre-mir-430c-1-17
805,dre-mir-430b-10-8,dre-mir-430b-10-8
806,znf1059,znf1059
807,BX088538.1,BX088538.1
808,zgc:174315,zgc174315
809,si:dkey-23a23.3,sidkey23a23.3
810,si:dkey-13e3.1,sidkey13e3.1
811,si:dkey-23a23.2,sidkey23a23.2
812,CR388132.1,CR388132.1
813,CR388132.2,CR388132.2
814,si:dkey-23a23.1,sidkey23a23.1
815,CR382372.1,CR382372.1
816,CR847895.1,CR847895.1
817,znf1140,znf1140
818,si:ch211-214c20.1,sich211214c20.1
819,BX248122.1,BX248122.1
820,si:ch211-214c20.1-1,sich211214c20.1-1
821,si:dkey-191j3.1,sidkey191j3.1
822,znf1119,znf1119
823,BX530097.1,BX530097.1
824,si:ch211-231i17.3,sich211231i17.3
825,si:ch211-231i17.4,sich211231i17.4
826,znf1121,znf1121
827,znf1111,znf1111
828,znf1128,znf1128
829,si:rp71-7l19.2,sirp717l19.2
830,BX323560.1,BX323560.1
831,si:ch211-22k7.9,sich21122k7.9
832,si:dkey-265e15.2,sidkey265e15.2
833,CR936249.1,CR936249.1
834,si:dkey-233e3.3,sidkey233e3.3
835,CR394552.1,CR394552.1
836,znf1047,znf1047
837,znf1083,znf1083
838,si:dkey-199m13.7,sidkey199m13.7
839,CR383668.2,CR383668.2
840,CR383668.1,CR383668.1
841,znf1114,znf1114
842,si:dkey-199m13.5,sidkey199m13.5
843,si:dkey-199m13.4,sidkey199m13.4
844,znf1052,znf1052
845,CU302413.1,CU302413.1
846,si:dkey-16p19.5,sidkey16p19.5
847,CU207245.1,CU207245.1
848,zgc:172014,zgc172014
849,si:dkey-178j11.5,sidkey178j11.5
850,si:dkey-11n14.1,sidkey11n14.1
851,AL953856.4,AL953856.4
852,AL953856.1,AL953856.1
853,AL953856.5,AL953856.5
854,znf1099,znf1099
855,AL953856.3,AL953856.3
856,AL953856.9,AL953856.9
857,AL953856.10,AL953856.10
858,AL953856.7,AL953856.7
859,AL953856.8,AL953856.8
860,AL953856.6,AL953856.6
861,AL953856.2,AL953856.2
862,si:dkey-47k16.4,sidkey47k16.4
863,BX649620.1,BX649620.1
864,BX571711.22,BX571711.22
865,BX571711.9,BX571711.9
866,BX571711.6,BX571711.6
867,BX571711.21,BX571711.21
868,BX571711.12,BX571711.12
869,BX571711.16,BX571711.16
870,BX571711.15,BX571711.15
871,BX571711.14,BX571711.14
872,BX571711.2,BX571711.2
873,BX571711.11,BX571711.11
874,BX571711.18,BX571711.18
875,BX571711.8,BX571711.8
876,BX571711.13,BX571711.13
877,BX571711.10,BX571711.10
878,BX571711.19,BX571711.19
879,BX571711.5,BX571711.5
880,BX571711.20,BX571711.20
881,BX571711.1,BX571711.1
882,BX571711.3,BX571711.3
883,si:dkey-43f9.4,sidkey43f9.4
884,BX571711.4,BX571711.4
885,BX571711.17,BX571711.17
886,BX571711.7,BX571711.7
887,si:dkey-57l19.1,sidkey57l19.1
