"","gene","stage","counts_sum"
"181","AL929435.1","21Day",98
"182","AL929435.1","22Month",1598
"183","AL929435.1","24hpf",61
"184","AL929435.1","3Month",3782
"185","AL929435.1","72hpf",194
"186","AL929576.1","21Day",28
"187","AL929576.1","22Month",125
"188","AL929576.1","24hpf",10
"189","AL929576.1","3Month",353
"190","AL929576.1","72hpf",36
"191","AL935126.1","21Day",12
"192","AL935126.1","22Month",49
"193","AL935126.1","24hpf",23
"194","AL935126.1","3Month",348
"195","AL935126.1","72hpf",33
"196","AL935153.1","21Day",948
"197","AL935153.1","22Month",12630
"198","AL935153.1","24hpf",322
"199","AL935153.1","3Month",11146
"200","AL935153.1","72hpf",346
"201","AL935166.1","21Day",1226
"202","AL935166.1","22Month",2069
"203","AL935166.1","24hpf",146
"204","AL935166.1","3Month",4449
"205","AL935166.1","72hpf",2903
"206","AL935174.4","21Day",26
"207","AL935174.4","22Month",3
"208","AL935174.4","24hpf",15
"209","AL935174.4","3Month",44
"210","AL935174.4","72hpf",48
"211","AL935186.10","21Day",30
"212","AL935186.10","22Month",12
"213","AL935186.10","24hpf",381
"214","AL935186.10","3Month",5
"215","AL935186.10","72hpf",578
"216","AL935186.9","21Day",65
"217","AL935186.9","22Month",54
"218","AL935186.9","24hpf",1172
"219","AL935186.9","3Month",71
"220","AL935186.9","72hpf",2629
"221","AL935210.1","21Day",775543
"222","AL935210.1","22Month",34
"223","AL935210.1","24hpf",3679
"224","AL935210.1","3Month",39
"225","AL935210.1","72hpf",1043511
"226","AL953865.1","21Day",56
"227","AL953865.1","22Month",323
"228","AL953865.1","24hpf",1
"229","AL953865.1","3Month",382
"230","AL953865.1","72hpf",4
"231","AL954134.2","21Day",20
"232","AL954134.2","22Month",6
"233","AL954134.2","24hpf",1216
"234","AL954134.2","3Month",0
"235","AL954134.2","72hpf",16
"236","AL954322.2","21Day",1513
"237","AL954322.2","22Month",3971
"238","AL954322.2","24hpf",748
"239","AL954322.2","3Month",4774
"240","AL954322.2","72hpf",2036
"241","AL954359.2","21Day",181
"242","AL954359.2","22Month",384
"243","AL954359.2","24hpf",80
"244","AL954359.2","3Month",1176
"245","AL954359.2","72hpf",208
"246","AL954696.1","21Day",1987
"247","AL954696.1","22Month",9042
"248","AL954696.1","24hpf",1188
"249","AL954696.1","3Month",9770
"250","AL954696.1","72hpf",1460
"251","AL954741.4","21Day",467
"252","AL954741.4","22Month",2463
"253","AL954741.4","24hpf",254
"254","AL954741.4","3Month",4560
"255","AL954741.4","72hpf",1172
"256","AL954861.2","21Day",58
"257","AL954861.2","22Month",36
"258","AL954861.2","24hpf",6
"259","AL954861.2","3Month",17
"260","AL954861.2","72hpf",51
"261","ANKRD50","21Day",818
"262","ANKRD50","22Month",498
"263","ANKRD50","24hpf",579
"264","ANKRD50","3Month",1444
"265","ANKRD50","72hpf",3418
"266","ANPEP","21Day",942
"267","ANPEP","22Month",30635
"268","ANPEP","24hpf",744
"269","ANPEP","3Month",32792
"270","ANPEP","72hpf",413
"271","AP3B1","21Day",2422
"272","AP3B1","22Month",1425
"273","AP3B1","24hpf",1606
"274","AP3B1","3Month",1912
"275","AP3B1","72hpf",2017
"276","AREL1","21Day",2228
"277","AREL1","22Month",3286
"278","AREL1","24hpf",983
"279","AREL1","3Month",5532
"280","AREL1","72hpf",3734
"281","ARFGAP1","21Day",116
"282","ARFGAP1","22Month",333
"283","ARFGAP1","24hpf",43
"284","ARFGAP1","3Month",457
"285","ARFGAP1","72hpf",153
"286","ARHGEF17","21Day",832
"287","ARHGEF17","22Month",1905
"288","ARHGEF17","24hpf",306
"289","ARHGEF17","3Month",2028
"290","ARHGEF17","72hpf",1820
"291","ASS1","21Day",44
"292","ASS1","22Month",21
"293","ASS1","24hpf",25
"294","ASS1","3Month",155
"295","ASS1","72hpf",18
"296","ASTE1","21Day",209
"297","ASTE1","22Month",363
"298","ASTE1","24hpf",129
"299","ASTE1","3Month",910
"300","ASTE1","72hpf",263
"301","ATG14","21Day",692
"302","ATG14","22Month",2268
"303","ATG14","24hpf",301
"304","ATG14","3Month",5389
"305","ATG14","72hpf",1161
"306","ATG2A","21Day",184
"307","ATG2A","22Month",779
"308","ATG2A","24hpf",33
"309","ATG2A","3Month",1306
"310","ATG2A","72hpf",185
"311","ATP11B","21Day",9460
"312","ATP11B","22Month",15082
"313","ATP11B","24hpf",2708
"314","ATP11B","3Month",21265
"315","ATP11B","72hpf",12877
"316","ATP5MD","21Day",20220
"317","ATP5MD","22Month",99061
"318","ATP5MD","24hpf",10152
"319","ATP5MD","3Month",116314
"320","ATP5MD","72hpf",24702
"321","ATP8A1","21Day",79
"322","ATP8A1","22Month",748
"323","ATP8A1","24hpf",16
"324","ATP8A1","3Month",786
"325","ATP8A1","72hpf",132
"326","ATP9A","21Day",86
"327","ATP9A","22Month",358
"328","ATP9A","24hpf",38
"329","ATP9A","3Month",506
"330","ATP9A","72hpf",254
"331","AXL","21Day",55
"332","AXL","22Month",344
"333","AXL","24hpf",53
"334","AXL","3Month",277
"335","AXL","72hpf",159
"336","BX000524.1","21Day",1
"337","BX000524.1","22Month",1442
"338","BX000524.1","24hpf",0
"339","BX000524.1","3Month",1195
"340","BX000524.1","72hpf",0
"341","BX000701.1","21Day",30
"342","BX000701.1","22Month",8
"343","BX000701.1","24hpf",28
"344","BX000701.1","3Month",3
"345","BX000701.1","72hpf",37
"346","BX000703.1","21Day",32
"347","BX000703.1","22Month",10
"348","BX000703.1","24hpf",71
"349","BX000703.1","3Month",9
"350","BX000703.1","72hpf",73
"351","BX001014.2","21Day",80
"352","BX001014.2","22Month",158
"353","BX001014.2","24hpf",607
"354","BX001014.2","3Month",2479
"355","BX001014.2","72hpf",37
"356","BX001023.2","21Day",26
"357","BX001023.2","22Month",62
"358","BX001023.2","24hpf",288
"359","BX001023.2","3Month",41
"360","BX001023.2","72hpf",154
"361","BX001026.1","21Day",9
"362","BX001026.1","22Month",5
"363","BX001026.1","24hpf",58
"364","BX001026.1","3Month",0
"365","BX001026.1","72hpf",19
"366","BX001030.1","21Day",325
"367","BX001030.1","22Month",35490
"368","BX001030.1","24hpf",37
"369","BX001030.1","3Month",10261
"370","BX001030.1","72hpf",269
"371","BX004823.1","21Day",100
"372","BX004823.1","22Month",122
"373","BX004823.1","24hpf",78
"374","BX004823.1","3Month",151
"375","BX004823.1","72hpf",61
"376","BX004991.1","21Day",493
"377","BX004991.1","22Month",93
"378","BX004991.1","24hpf",148
"379","BX004991.1","3Month",73
"380","BX004991.1","72hpf",878
"381","BX004999.1","21Day",725
"382","BX004999.1","22Month",8354
"383","BX004999.1","24hpf",232
"384","BX004999.1","3Month",15447
"385","BX004999.1","72hpf",1658
"386","BX005003.1","21Day",1009
"387","BX005003.1","22Month",164
"388","BX005003.1","24hpf",80
"389","BX005003.1","3Month",143
"390","BX005003.1","72hpf",3763
"391","BX005022.1","21Day",11
"392","BX005022.1","22Month",0
"393","BX005022.1","24hpf",90
"394","BX005022.1","3Month",206
"395","BX005022.1","72hpf",3
"396","BX005065.1","21Day",62
"397","BX005065.1","22Month",377
"398","BX005065.1","24hpf",58
"399","BX005065.1","3Month",293
"400","BX005065.1","72hpf",60
"401","BX005082.1","21Day",62
"402","BX005082.1","22Month",76
"403","BX005082.1","24hpf",80
"404","BX005082.1","3Month",309
"405","BX005082.1","72hpf",77
"406","BX005085.1","21Day",22
"407","BX005085.1","22Month",69
"408","BX005085.1","24hpf",40
"409","BX005085.1","3Month",144
"410","BX005085.1","72hpf",83
"411","BX005085.4","21Day",163
"412","BX005085.4","22Month",389
"413","BX005085.4","24hpf",200
"414","BX005085.4","3Month",1168
"415","BX005085.4","72hpf",475
"416","BX005085.5","21Day",29
"417","BX005085.5","22Month",24
"418","BX005085.5","24hpf",25
"419","BX005085.5","3Month",93
"420","BX005085.5","72hpf",48
"421","BX005085.6","21Day",102
"422","BX005085.6","22Month",406
"423","BX005085.6","24hpf",190
"424","BX005085.6","3Month",1270
"425","BX005085.6","72hpf",245
"426","BX005085.7","21Day",459
"427","BX005085.7","22Month",2921
"428","BX005085.7","24hpf",388
"429","BX005085.7","3Month",5297
"430","BX005085.7","72hpf",1217
"431","BX005129.1","21Day",225
"432","BX005129.1","22Month",378
"433","BX005129.1","24hpf",87
"434","BX005129.1","3Month",994
"435","BX005129.1","72hpf",387
"436","BX005228.1","21Day",7136
"437","BX005228.1","22Month",34538
"438","BX005228.1","24hpf",1710
"439","BX005228.1","3Month",59835
"440","BX005228.1","72hpf",16208
"441","BX005234.1","21Day",42
"442","BX005234.1","22Month",74
"443","BX005234.1","24hpf",173
"444","BX005234.1","3Month",42
"445","BX005234.1","72hpf",131
"446","BX005245.1","21Day",27
"447","BX005245.1","22Month",258
"448","BX005245.1","24hpf",58
"449","BX005245.1","3Month",690
"450","BX005245.1","72hpf",31
"451","BX005254.1","21Day",46
"452","BX005254.1","22Month",90
"453","BX005254.1","24hpf",97
"454","BX005254.1","3Month",812
"455","BX005254.1","72hpf",127
"456","BX005254.3","21Day",19
"457","BX005254.3","22Month",61
"458","BX005254.3","24hpf",289
"459","BX005254.3","3Month",198
"460","BX005254.3","72hpf",39
"461","BX005254.4","21Day",33
"462","BX005254.4","22Month",54
"463","BX005254.4","24hpf",394
"464","BX005254.4","3Month",170
"465","BX005254.4","72hpf",68
"466","BX005286.1","21Day",57
"467","BX005286.1","22Month",15
"468","BX005286.1","24hpf",15
"469","BX005286.1","3Month",94
"470","BX005286.1","72hpf",47
"471","BX005309.1","21Day",1083
"472","BX005309.1","22Month",1625
"473","BX005309.1","24hpf",1129
"474","BX005309.1","3Month",4521
"475","BX005309.1","72hpf",3748
"476","BX005340.1","21Day",1709
"477","BX005340.1","22Month",9227
"478","BX005340.1","24hpf",1162
"479","BX005340.1","3Month",14726
"480","BX005340.1","72hpf",1922
"481","BX005367.2","21Day",7
"482","BX005367.2","22Month",0
"483","BX005367.2","24hpf",50
"484","BX005367.2","3Month",22
"485","BX005367.2","72hpf",19
"486","BX005380.2","21Day",71
"487","BX005380.2","22Month",157
"488","BX005380.2","24hpf",72
"489","BX005380.2","3Month",17
"490","BX005380.2","72hpf",72
"491","BX005392.3","21Day",45
"492","BX005392.3","22Month",41
"493","BX005392.3","24hpf",189
"494","BX005392.3","3Month",72
"495","BX005392.3","72hpf",40
"496","BX005396.3","21Day",4
"497","BX005396.3","22Month",0
"498","BX005396.3","24hpf",36
"499","BX005396.3","3Month",0
"500","BX005396.3","72hpf",23
"501","BX005421.3","21Day",197
"502","BX005421.3","22Month",2702
"503","BX005421.3","24hpf",35
"504","BX005421.3","3Month",3074
"505","BX005421.3","72hpf",53
"506","BX005450.1","21Day",782
"507","BX005450.1","22Month",782
"508","BX005450.1","24hpf",96
"509","BX005450.1","3Month",1141
"510","BX005450.1","72hpf",382
"511","BX005454.1","21Day",148
"512","BX005454.1","22Month",143
"513","BX005454.1","24hpf",110
"514","BX005454.1","3Month",308
"515","BX005454.1","72hpf",237
"516","BX005461.3","21Day",335
"517","BX005461.3","22Month",5095
"518","BX005461.3","24hpf",532
"519","BX005461.3","3Month",2371
"520","BX005461.3","72hpf",442
"521","BX072576.2","21Day",66
"522","BX072576.2","22Month",76
"523","BX072576.2","24hpf",29
"524","BX072576.2","3Month",233
"525","BX072576.2","72hpf",30
"526","BX072577.1","21Day",56
"527","BX072577.1","22Month",562
"528","BX072577.1","24hpf",47
"529","BX072577.1","3Month",865
"530","BX072577.1","72hpf",202
"531","BX085193.2","21Day",47
"532","BX085193.2","22Month",80
"533","BX085193.2","24hpf",44
"534","BX085193.2","3Month",336
"535","BX085193.2","72hpf",93
"536","BX088538.1","21Day",14
"537","BX088538.1","22Month",120
"538","BX088538.1","24hpf",6
"539","BX088538.1","3Month",163
"540","BX088538.1","72hpf",16
"541","BX088544.1","21Day",1047
"542","BX088544.1","22Month",1003
"543","BX088544.1","24hpf",390
"544","BX088544.1","3Month",1688
"545","BX088544.1","72hpf",2586
"546","BX088596.1","21Day",201
"547","BX088596.1","22Month",1243
"548","BX088596.1","24hpf",334
"549","BX088596.1","3Month",1788
"550","BX088596.1","72hpf",436
"551","BX088688.1","21Day",865
"552","BX088688.1","22Month",2562
"553","BX088688.1","24hpf",302
"554","BX088688.1","3Month",3219
"555","BX088688.1","72hpf",2437
"556","BX088707.1","21Day",1109
"557","BX088707.1","22Month",14129
"558","BX088707.1","24hpf",1057
"559","BX088707.1","3Month",19094
"560","BX088707.1","72hpf",3920
"561","BX088713.1","21Day",552
"562","BX088713.1","22Month",659
"563","BX088713.1","24hpf",527
"564","BX088713.1","3Month",1672
"565","BX088713.1","72hpf",860
"566","BX088718.1","21Day",12
"567","BX088718.1","22Month",2
"568","BX088718.1","24hpf",8
"569","BX088718.1","3Month",2
"570","BX088718.1","72hpf",9
"571","BX119963.2","21Day",54
"572","BX119963.2","22Month",146
"573","BX119963.2","24hpf",51
"574","BX119963.2","3Month",770
"575","BX119963.2","72hpf",40
"576","BX120005.1","21Day",2602
"577","BX120005.1","22Month",17122
"578","BX120005.1","24hpf",86
"579","BX120005.1","3Month",24888
"580","BX120005.1","72hpf",48
"581","BX248108.1","21Day",69
"582","BX248108.1","22Month",206
"583","BX248108.1","24hpf",21
"584","BX248108.1","3Month",144
"585","BX248108.1","72hpf",211
"586","BX248128.1","21Day",47
"587","BX248128.1","22Month",58
"588","BX248128.1","24hpf",67
"589","BX248128.1","3Month",6
"590","BX248128.1","72hpf",59
"591","BX248318.1","21Day",7136
"592","BX248318.1","22Month",55613
"593","BX248318.1","24hpf",3642
"594","BX248318.1","3Month",161312
"595","BX248318.1","72hpf",4597
"596","BX248324.1","21Day",368
"597","BX248324.1","22Month",517
"598","BX248324.1","24hpf",314
"599","BX248324.1","3Month",874
"600","BX248324.1","72hpf",1701
"601","BX248395.1","21Day",708
"602","BX248395.1","22Month",4601
"603","BX248395.1","24hpf",37
"604","BX248395.1","3Month",3342
"605","BX248395.1","72hpf",155
"606","BX248418.2","21Day",364
"607","BX248418.2","22Month",580
"608","BX248418.2","24hpf",306
"609","BX248418.2","3Month",679
"610","BX248418.2","72hpf",492
"611","BX248497.1","21Day",297
"612","BX248497.1","22Month",193
"613","BX248497.1","24hpf",54
"614","BX248497.1","3Month",585
"615","BX248497.1","72hpf",581
"616","BX248501.1","21Day",104
"617","BX248501.1","22Month",67
"618","BX248501.1","24hpf",18
"619","BX248501.1","3Month",155
"620","BX248501.1","72hpf",61
"621","BX248510.1","21Day",1052
"622","BX248510.1","22Month",5768
"623","BX248510.1","24hpf",804
"624","BX248510.1","3Month",6869
"625","BX248510.1","72hpf",1700
"626","BX248511.1","21Day",395
"627","BX248511.1","22Month",1267
"628","BX248511.1","24hpf",162
"629","BX248511.1","3Month",3233
"630","BX248511.1","72hpf",432
"631","BX248515.1","21Day",30
"632","BX248515.1","22Month",109
"633","BX248515.1","24hpf",11
"634","BX248515.1","3Month",433
"635","BX248515.1","72hpf",63
"636","BX248521.2","21Day",73
"637","BX248521.2","22Month",142
"638","BX248521.2","24hpf",107
"639","BX248521.2","3Month",262
"640","BX248521.2","72hpf",113
"641","BX255967.1","21Day",18
"642","BX255967.1","22Month",3
"643","BX255967.1","24hpf",16
"644","BX255967.1","3Month",106
"645","BX255967.1","72hpf",31
"646","BX276101.1","21Day",55
"647","BX276101.1","22Month",21
"648","BX276101.1","24hpf",96
"649","BX276101.1","3Month",8
"650","BX276101.1","72hpf",33
"651","BX284635.1","21Day",176
"652","BX284635.1","22Month",241
"653","BX284635.1","24hpf",44
"654","BX284635.1","3Month",2744
"655","BX284635.1","72hpf",387
"656","BX284638.1","21Day",2068
"657","BX284638.1","22Month",263
"658","BX284638.1","24hpf",2251
"659","BX284638.1","3Month",306
"660","BX284638.1","72hpf",3680
"661","BX284666.1","21Day",58
"662","BX284666.1","22Month",116
"663","BX284666.1","24hpf",22
"664","BX284666.1","3Month",161
"665","BX284666.1","72hpf",106
"666","BX293993.1","21Day",0
"667","BX293993.1","22Month",2
"668","BX293993.1","24hpf",44
"669","BX293993.1","3Month",0
"670","BX293993.1","72hpf",1
"671","BX294178.1","21Day",23
"672","BX294178.1","22Month",81
"673","BX294178.1","24hpf",14
"674","BX294178.1","3Month",102
"675","BX294178.1","72hpf",80
"676","BX294178.2","21Day",3
"677","BX294178.2","22Month",134
"678","BX294178.2","24hpf",17
"679","BX294178.2","3Month",295
"680","BX294178.2","72hpf",27
"681","BX294189.1","21Day",39
"682","BX294189.1","22Month",49
"683","BX294189.1","24hpf",65
"684","BX294189.1","3Month",48
"685","BX294189.1","72hpf",61
"686","BX294379.1","21Day",238
"687","BX294379.1","22Month",28
"688","BX294379.1","24hpf",93
"689","BX294379.1","3Month",30
"690","BX294379.1","72hpf",246
"691","BX294434.1","21Day",439
"692","BX294434.1","22Month",327
"693","BX294434.1","24hpf",238
"694","BX294434.1","3Month",1375
"695","BX294434.1","72hpf",871
"696","BX296551.1","21Day",17
"697","BX296551.1","22Month",573
"698","BX296551.1","24hpf",36
"699","BX296551.1","3Month",586
"700","BX296551.1","72hpf",17
"701","BX322530.1","21Day",3081
"702","BX322530.1","22Month",2727
"703","BX322530.1","24hpf",103
"704","BX322530.1","3Month",6138
"705","BX322530.1","72hpf",1295
"706","BX322603.1","21Day",3
"707","BX322603.1","22Month",0
"708","BX322603.1","24hpf",2197
"709","BX322603.1","3Month",0
"710","BX322603.1","72hpf",17
"711","BX322618.1","21Day",10324
"712","BX322618.1","22Month",2170
"713","BX322618.1","24hpf",49
"714","BX322618.1","3Month",4169
"715","BX322618.1","72hpf",2129
"716","BX322622.1","21Day",0
"717","BX322622.1","22Month",95
"718","BX322622.1","24hpf",0
"719","BX322622.1","3Month",126
"720","BX322622.1","72hpf",0
"721","BX322657.2","21Day",155
"722","BX322657.2","22Month",437
"723","BX322657.2","24hpf",129
"724","BX322657.2","3Month",958
"725","BX322657.2","72hpf",295
"726","BX322657.3","21Day",134
"727","BX322657.3","22Month",435
"728","BX322657.3","24hpf",78
"729","BX322657.3","3Month",396
"730","BX322657.3","72hpf",321
"731","BX322661.2","21Day",148
"732","BX322661.2","22Month",91
"733","BX322661.2","24hpf",423
"734","BX322661.2","3Month",470
"735","BX322661.2","72hpf",526
"736","BX322665.1","21Day",67
"737","BX322665.1","22Month",13
"738","BX322665.1","24hpf",66
"739","BX322665.1","3Month",164
"740","BX322665.1","72hpf",45
"741","BX323031.2","21Day",54
"742","BX323031.2","22Month",32
"743","BX323031.2","24hpf",50
"744","BX323031.2","3Month",155
"745","BX323031.2","72hpf",94
"746","BX323065.1","21Day",2
"747","BX323065.1","22Month",2
"748","BX323065.1","24hpf",31
"749","BX323065.1","3Month",0
"750","BX323065.1","72hpf",2
"751","BX323067.1","21Day",20
"752","BX323067.1","22Month",125
"753","BX323067.1","24hpf",219
"754","BX323067.1","3Month",16
"755","BX323067.1","72hpf",251
"756","BX323074.2","21Day",105
"757","BX323074.2","22Month",442
"758","BX323074.2","24hpf",60
"759","BX323074.2","3Month",1592
"760","BX323074.2","72hpf",54
"761","BX323080.1","21Day",2
"762","BX323080.1","22Month",58
"763","BX323080.1","24hpf",81
"764","BX323080.1","3Month",531
"765","BX323080.1","72hpf",2
"766","BX323453.1","21Day",69
"767","BX323453.1","22Month",478
"768","BX323453.1","24hpf",43
"769","BX323453.1","3Month",664
"770","BX323453.1","72hpf",117
"771","BX323557.1","21Day",1033
"772","BX323557.1","22Month",1698
"773","BX323557.1","24hpf",863
"774","BX323557.1","3Month",5610
"775","BX323557.1","72hpf",628
"776","BX323564.1","21Day",7
"777","BX323564.1","22Month",262
"778","BX323564.1","24hpf",2
"779","BX323564.1","3Month",194
"780","BX323564.1","72hpf",1
"781","BX323575.1","21Day",46
"782","BX323575.1","22Month",14
"783","BX323575.1","24hpf",70
"784","BX323575.1","3Month",37
"785","BX323575.1","72hpf",31
"786","BX323590.1","21Day",57
"787","BX323590.1","22Month",30
"788","BX323590.1","24hpf",22
"789","BX323590.1","3Month",72
"790","BX323590.1","72hpf",105
"791","BX323590.2","21Day",644
"792","BX323590.2","22Month",2113
"793","BX323590.2","24hpf",114
"794","BX323590.2","3Month",5539
"795","BX323590.2","72hpf",1184
"796","BX323793.1","21Day",501
"797","BX323793.1","22Month",1825
"798","BX323793.1","24hpf",28
"799","BX323793.1","3Month",3101
"800","BX323793.1","72hpf",50
"801","BX323819.1","21Day",167
"802","BX323819.1","22Month",749
"803","BX323819.1","24hpf",66
"804","BX323819.1","3Month",1173
"805","BX323819.1","72hpf",194
"806","BX323824.1","21Day",113
"807","BX323824.1","22Month",251
"808","BX323824.1","24hpf",50
"809","BX323824.1","3Month",573
"810","BX323824.1","72hpf",280
"811","BX323884.1","21Day",335
"812","BX323884.1","22Month",1430
"813","BX323884.1","24hpf",353
"814","BX323884.1","3Month",2731
"815","BX323884.1","72hpf",658
"816","BX324132.2","21Day",20
"817","BX324132.2","22Month",185
"818","BX324132.2","24hpf",42
"819","BX324132.2","3Month",124
"820","BX324132.2","72hpf",4
"821","BX324142.1","21Day",27
"822","BX324142.1","22Month",45
"823","BX324142.1","24hpf",48
"824","BX324142.1","3Month",29
"825","BX324142.1","72hpf",44
"826","BX324164.3","21Day",196
"827","BX324164.3","22Month",951
"828","BX324164.3","24hpf",230
"829","BX324164.3","3Month",1217
"830","BX324164.3","72hpf",430
"831","BX324164.4","21Day",477
"832","BX324164.4","22Month",346
"833","BX324164.4","24hpf",567
"834","BX324164.4","3Month",630
"835","BX324164.4","72hpf",477
"836","BX324216.3","21Day",409
"837","BX324216.3","22Month",1039
"838","BX324216.3","24hpf",155
"839","BX324216.3","3Month",1054
"840","BX324216.3","72hpf",638
"841","BX465206.1","21Day",14
"842","BX465206.1","22Month",16
"843","BX465206.1","24hpf",30
"844","BX465206.1","3Month",199
"845","BX465206.1","72hpf",47
