gene	21Day	22Month	24hpf	3Month	72hpf
BX323557.1	1033	1698	863	5610	628
BX323564.1	7	262	2	194	1
BX323575.1	46	14	70	37	31
BX323590.1	57	30	22	72	105
BX323590.2	644	2113	114	5539	1184
BX323793.1	501	1825	28	3101	50
BX323819.1	167	749	66	1173	194
BX323824.1	113	251	50	573	280
BX323884.1	335	1430	353	2731	658
BX324132.2	20	185	42	124	4
BX324142.1	27	45	48	29	44
BX324164.3	196	951	230	1217	430
BX324164.4	477	346	567	630	477
BX324216.3	409	1039	155	1054	638
BX465206.1	14	16	30	199	47
BX465227.1	1069	2369	551	4030	1276
BX465228.2	1309	7211	179	8248	890
BX465834.1	3229	848	364	1037	15652
BX465836.1	10	6	18	8	20
BX465844.1	26	54	14	551	26
BX469885.1	66	1290	211	467	104
BX469902.1	165	45	34	71	124
BX469925.1	37	90	37	52	15
BX469930.1	0	52	114	64	5
BX470176.1	67	77	41	113	91
BX470182.1	240	347	48	323	202
BX470189.1	421	1072	493	2335	1260
BX470211.1	184	783	103	1695	201
BX470238.1	211	654	61	764	386
BX470240.1	2	0	4	0	0
BX470259.1	132	282	194	719	302
BX470259.4	1543	2434	1089	5275	4436
BX470259.5	143	9	231	41	192
BX470264.1	1772	241	432	382	5799
BX510319.1	1	0	0	5	1
BX510649.1	11	1004	71	641	39
BX510909.2	16	5	151	36	44
BX510922.1	33	11	34	7	88
BX510923.1	1020	3544	417	5608	1625
BX510934.1	13	0	27	0	21
BX510940.1	524	1463	111	2206	214
BX510989.1	16	54	51	841	51
BX510992.2	111	484	15	118	81
BX511021.2	323	1009	42	3154	88
BX511034.1	221	88	54	275	152
BX511034.3	50	145	41	608	88
BX511034.5	125	11	36	263	110
BX511034.7	441	2651	203	2757	344
BX511061.1	102	496	144	552	212
BX511089.2	4	57	16	230	9
BX511128.1	57	91	60	353	64
BX511128.2	28	491	26	895	22
BX511129.1	657	933	293	2628	555
BX511129.3	232	381	91	820	624
BX511136.1	52	16	489	85	155
BX511142.1	18	25	20	68	49
BX511161.1	162	2	109	0	397
BX511166.1	45	132	47	119	50
BX511227.1	45	65	188	18	272
BX511246.1	94	250	83	348	70
BX511310.1	28	680	28	3826	41
BX530017.2	46	21	77	146	132
BX530018.2	547	1131	193	2015	580
BX530032.1	45	44	19	98	65
BX530077.1	185	344	221	157	690
BX530097.1	51	12	54	21	82
BX530721.1	37	54	22	5	32
BX537110.1	8	2	17	23	11
BX537120.3	4	46	19	16	0
BX537137.3	24	15	36	27	62
BX537166.1	60	30	15	2	51
BX537308.1	146	370	64	150	77
BX537342.1	289	801	238	5264	744
BX547934.2	44	429	37	472	51
BX548000.1	0	8	135	0	83
BX548024.1	8	0	114	6	12
BX548044.7	5	3	12	87	17
BX548046.2	1486	3127	214	4898	2054
BX548062.1	401	415	216	193	1424
BX548073.3	305	640	34	3771	331
BX548075.3	1	3	6	0	2
BX548077.1	785	413	492	521	2308
BX548157.1	86	30	35	106	54
BX569787.1	334	985	858	1884	1293
BX569789.1	184	31	100	153	632
BX569793.1	62	12	201	159	203
BX569796.1	327	1525	109	1010	295
BX569801.1	55	247	161	921	124
BX571680.1	268	598	91	1170	492
BX571705.2	113	4	51	220	148
BX571712.3	10	0	34	170	31
BX571715.1	379	7822	173	11644	675
BX571780.1	0	4	0	0	0
BX571811.1	128	168	106	251	362
BX571811.2	94	757	602	943	261
BX571942.1	301	135	176	435	434
BX571960.1	321	4059	39	4773	330
BX572619.1	3796	11474	2325	15919	4277
BX629344.1	93	889	65	1401	123
BX640478.1	49	94	66	104	52
BX640537.3	497	1329	230	1664	973
BX640547.1	77	392	51	289	84
BX649250.1	4197	4544	1890	11276	4990
BX649294.1	89	25	88	24	70
BX649337.1	27	457	9	107	26
BX649384.3	8	6	48	39	28
BX649411.1	179	1893	424	1601	117
BX649411.2	335	3383	491	4544	320
BX649453.1	176	84	39	0	241
BX649478.1	326	3807	158	2035	564
BX649485.1	923	8419	692	9108	631
BX649485.2	405	30415	1441	18181	559
BX649485.4	795	19108	701	11925	939
BX649502.6	66	213	29	405	91
BX649529.1	275	259	362	413	968
BX649622.1	72	68	17	105	31
BX663503.1	495	440	46	1371	670
BX663503.3	3097	8472	484	20800	2083
BX663516.2	1116	1117	138	1196	430
BX663519.1	680	413	178	979	737
BX663613.1	18	22	45	14	48
BX664618.1	200	549	239	1080	60
BX664622.1	313	4125	42	14349	161
BX664625.4	75	8	4	355	6
BX664742.3	40	89	55	187	58
BX682234.1	29	604	54	1103	37
BX682556.1	724	2351	1606	1290	407
BX682558.1	2213	1244	3219	4866	5577
BX855614.1	113	36	82	262	209
BX855614.3	145	97	63	161	508
BX855614.4	1057	1206	1119	1204	2505
BX890548.1	386	2245	373	4911	410
BX890558.1	457	567	353	2723	565
BX890576.1	20	143	54	759	17
BX890590.1	7	1082	20	2001	12
BX897714.1	70	333	64	4047	184
BX901920.1	6994	3799	39	15664	1413
BX901957.1	331	21	207	327	1554
BX901962.3	158	175	135	536	892
BX901973.1	986	187	66	351	4551
BX901974.1	230	97	80	2	315
BX908401.1	64	619	51	464	61
BX908782.2	4449	555537	110	128842	499
BX908804.1	14	68	34	170	1
BX914200.1	731	52039	77	7800	109
BX927122.1	3	0	33	3	13
BX927130.4	274	329	33	760	505
BX927184.1	339	216	202	422	2376
BX927204.1	2219	3363	1874	2287	1730
BX927212.1	24	119	12	54	7
BX927244.1	585	927	279	3673	882
BX927258.1	1	0	260	2	9
BX927308.1	3124	4390	3491	6249	3027
BX927308.2	346	1057	50	7889	669
BX927327.1	38	52	179	128	203
BX927333.1	268	605	15	712	510
BX927395.1	2	0	20	0	4
BX927404.1	139	141	67	185	116
BX936320.1	101	2323	63	1967	114
BX936337.1	6273	38723	1613	62358	5279
BX936386.1	107	1299	59	142	50
BX936397.2	15	50	14	64	22
BX936415.1	0	3	0	2	0
BX936439.1	600	1793	308	2593	786
BX936461.1	16	1	12	31	11
BX942819.3	29	23	17	62	129
BX950188.1	373	388	25	239	227
BX957281.1	493	2296	79	9938	424
BX957292.1	25	0	28	0	29
BX957297.1	85	747	32	176	323
BX957317.1	533	808	34	1548	997
BX957317.2	97	62	68	135	196
BX957322.2	136	619	35	1759	95
BX957326.3	42	100	105	223	355
BX957346.1	56	112	102	117	80
BX957362.1	587	2774	752	3013	546
CABZ01001434.1	259	4672	5617	5161	2527
CABZ01002768.1	221	759	610	267	374
CABZ01005876.1	644	471	103	434	344
CABZ01007222.1	243	184	34	234	473
CABZ01008739.1	14	127	31	606	41
CABZ01015475.1	71	84	18	221	50
CABZ01015525.1	133	36	40	264	203
CABZ01015815.1	328	301	526	565	1170
CABZ01015815.3	196	746	140	1326	381
CABZ01020840.1	8449	59636	762	40625	3366
CABZ01021433.1	454	981	394	2091	771
CABZ01021592.1	5835	4668	3859	12924	23435
CABZ01021599.1	52	148	29	256	114
CABZ01025780.1	605	5172	37	1336	257
CABZ01026681.1	1288	7155	404	14364	1118
CABZ01028771.1	229	1380	210	2402	282
CABZ01029938.1	39	5494	3	14314	8
CABZ01030107.1	579	1998	145	1112	1553
CABZ01030862.1	178	399	121	515	169
CABZ01032476.1	147	217	46	288	187
CABZ01032488.1	5898	39393	1252	50128	6869
CABZ01033178.1	258	126	243	445	333
CABZ01033180.1	60	36	66	387	136
CABZ01034082.1	45	1105	155	6473	148
CABZ01034698.1	170	185	92	629	133
CABZ01034698.2	348	1393	29	3969	160
CABZ01035279.1	83	280	33	4	128
CABZ01037298.1	417	2	445	31	771
CABZ01038699.1	49	16	82	5	38
CABZ01039859.1	965	749	62	1780	886
CABZ01039861.1	52	600	48	180	179
CABZ01039863.1	111	1152	72	1042	222
CABZ01041494.1	58	1849	86	1719	24
CABZ01041913.1	798	7128	121	7453	1211
CABZ01041962.1	1626	1780	725	1810	2364
CABZ01044053.1	9297	8354	9579	16918	16928
CABZ01044235.1	85	248	35	699	62
CABZ01044281.1	799	223	33	622	1173
CABZ01044764.1	68	390	63	919	102
CABZ01046093.1	582	1568	298	6646	1051
CABZ01046954.1	648	237	377	1594	1016
CABZ01048143.1	2297	19316	1956	23137	2758
CABZ01048392.1	662	508	281	951	645
CABZ01048402.1	221	605	103	1055	380
CABZ01048402.2	59	13	114	9	90
CABZ01049847.1	265	673	33	879	160
CABZ01050249.1	30	154	24	466	26
CABZ01051901.1	8	46	12	76	45
CABZ01052268.1	74	765	50	1051	39
CABZ01052573.1	73	56	26	151	144
CABZ01052576.1	2041	7579	1450	16095	3010
CABZ01053416.1	1580	5634	774	6491	2755
CABZ01054394.1	78	47	81	516	132
CABZ01054965.1	997	3103	148	9455	945
CABZ01055306.1	649	459	53	1603	213
CABZ01055347.1	127	1133	62	1129	148
CABZ01055522.1	512	805	283	895	3225
CABZ01056279.1	1313	515	2367	2657	4268
CABZ01057928.1	112	134	49	130	94
CABZ01058046.1	22	16	7	18	17
CABZ01058222.1	9	29	52	19	25
CABZ01058261.1	8383	2839	15256	8205	19091
CABZ01058647.1	11309	147965	963	81329	2
CABZ01058650.1	2940	35389	1404	20548	3371
CABZ01058721.1	43	32	33	69	61
CABZ01059120.1	199	359	205	2254	503
CABZ01059403.1	11	128	11	91	45
CABZ01059559.1	17	205	17	1423	12
CABZ01059627.1	38	101	333	0	193
CABZ01059627.2	5	146	167	0	41
CABZ01059915.1	2034	449	441	344	3677
CABZ01060453.1	124	95	42	471	176
CABZ01061495.1	1719	5741	526	4689	2587
CABZ01061498.1	16	48	4	129	20
CABZ01061524.1	2307	111	29	388	2901
CABZ01061591.1	1138	2437	192	4406	1396
CABZ01061894.1	5813	8351	3847	8410	8675
CABZ01062422.1	4	27	4	25	0
CABZ01063170.1	101	125	40	254	356
CABZ01063556.1	583	6279	762	8480	883
CABZ01064859.1	467	1980	98	3352	654
CABZ01064859.2	209	951	108	2397	370
CABZ01065076.1	7016	60398	1350	84576	9731
CABZ01065131.1	646	505	217	1073	795
CABZ01065679.1	191	714	40	544	142
CABZ01066312.1	2313	14553	1166	29928	7733
CABZ01066694.1	392	3829	126	6363	145
CABZ01066720.1	62	102	103	470	133
CABZ01067681.1	868	528	539	796	811
CABZ01068122.1	194	260	49	367	135
CABZ01068251.1	2596	3484	2289	7322	3487
CABZ01068469.1	2486	442	538	1574	3882
CABZ01069022.1	129	260	25	451	249
CABZ01069338.1	34	191	85	1608	65
CABZ01069595.1	87	88	45	149	75
CABZ01069998.1	953	846	244	1598	3778
CABZ01070631.1	28	25	18	39	43
CABZ01071171.1	54	256	31	405	92
CABZ01071848.1	905	3473	415	4930	1698
CABZ01072077.1	1186	719	49	2929	1101
CABZ01072083.2	273	3448	72	3421	697
CABZ01072254.1	40	164	8	280	51
CABZ01072309.1	903	61283	1453	6906	1877
CABZ01072548.1	283	1173	80	1023	272
CABZ01072607.1	788	1179	409	4352	2098
CABZ01072810.1	38	346	5	282	37
CABZ01073168.1	754	1994	309	2121	1083
CABZ01073265.1	1627	185405	117	301659	922
CABZ01073339.1	81	8	53	26	173
CABZ01074076.1	41	63	17	122	32
CABZ01074130.1	72029	343	1322	792	67391
CABZ01074300.1	50	249	15	278	71
CABZ01074307.2	1425	8528	434	13013	1631
CABZ01074363.1	306	477	164	809	613
CABZ01074397.1	20007	9417	413	13367	2627
CABZ01074398.1	3615	6129	737	14193	2226
CABZ01074453.1	113	625	500	2550	189
CABZ01075125.1	995	1717	809	986	4556
CABZ01075143.1	53	247	58	670	74
CABZ01075242.1	2191	5789	719	14421	2566
CABZ01075509.1	58	89	21	155	55
CABZ01076275.1	1816	44800	582	59147	5072
CABZ01077124.1	1158	106	311	182	872
CABZ01077217.1	869	974	907	1298	1703
CABZ01077218.1	57	141	27	362	87
CABZ01077220.2	258	1142	83	2070	421
CABZ01077956.1	10	25	5	364	53
CABZ01078055.1	2936	5333	1999	9464	5837
CABZ01078261.1	29	17	17	25	39
CABZ01078350.1	684	22	259	183	2206
CABZ01078415.1	403	1153	59	2298	400
CABZ01078449.1	856	1480	127	2228	831
CABZ01078593.1	104	25	33	108	54
CABZ01078594.1	1966	83	406	146	2287
CABZ01078737.1	1557	11871	1382	18320	3193
CABZ01079011.1	9079	129853	7877	201082	6541
CABZ01079241.1	267	366	161	773	384
CABZ01079251.1	174	7450	25	6789	189
CABZ01079480.1	855	13537	238	12281	898
CABZ01079663.1	56	416	39	633	103
CABZ01079760.1	1108	1444	424	1500	628
CABZ01079802.1	512	43	117	217	510
CABZ01080042.1	2462	54406	4839	152407	243
CABZ01080135.1	385	877	552	1071	727
CABZ01080371.2	1686	6313	1644	8569	4318
CABZ01080371.3	376	1244	116	1779	432
CABZ01080375.1	84	604	39	946	103
CABZ01080601.1	2301	526	909	1230	2366
CABZ01080702.1	7568	2967	4027	9077	15108
CABZ01081294.1	55	59	49	22	54
CABZ01081385.1	187	1036	100	620	195
CABZ01081535.1	48	73	43	75	70
CABZ01081748.1	85	507	36	962	233
CABZ01081752.1	1236	638	1519	1206	1905
CABZ01081752.2	281	636	206	1061	700
CABZ01081777.1	29	523	136	1769	98
CABZ01081909.1	695	1259	911	4706	1947
CABZ01083166.1	47	115	15	118	40
CABZ01083944.1	64	79	28	50	58
CABZ01084323.1	112	455	6	545	112
CABZ01084391.1	1265	1078	534	1231	997
CABZ01084501.2	113	399	62	1507	88
CABZ01084942.1	277	1898	24	3539	82
CABZ01084963.1	3558	36300	1056	23987	2881
CABZ01085052.1	664	335	367	401	578
CABZ01085139.1	3717	1021	297	5811	3589
CABZ01085177.1	173	318	148	971	235
CABZ01085365.1	66	357	32	466	71
CABZ01085654.1	67	281	25	368	162
CABZ01086293.1	480	3475	229	4433	740
CABZ01086611.1	736	147	7	53	1406
CABZ01086734.1	33	14	55	15	76
CABZ01087623.1	476	204	225	225	498
CABZ01087629.1	173	331	127	556	322
CABZ01087948.1	1179	8404	207	16021	663
CABZ01088109.1	1245	1348	774	3113	2414
CABZ01088134.1	943	4609	581	1990	675
CABZ01088271.1	761	1135	326	1197	637
CABZ01088274.1	2228	10589	1220	14808	2785
CABZ01088508.1	1238	3497	877	7163	2022
CABZ01089777.1	20	0	6	1	6
CABZ01090029.1	559	1426	542	3587	905
CABZ01090144.1	303	516	79	586	206
CABZ01090361.1	970	1362	652	3078	1076
CABZ01090890.1	329	737	55	1096	271
CABZ01092156.1	392	695	129	1343	177
CABZ01092282.1	18	23	1	55	49
CABZ01093502.1	12	0	481	0	185
CABZ01095001.1	14	5	12	40	34
CABZ01095370.1	69	150	31	251	92
CABZ01097761.1	147	613	61	666	237
CABZ01098670.1	3411	5207	1555	11015	5185
CABZ01099833.1	10	23	2	44	2
CABZ01099847.1	99	40	42	19	183
CABZ01100185.1	2421	1544	2185	3027	6298
CABZ01100198.1	426	1805	94	2230	399
CABZ01100888.1	617	2587	214	5175	745
CABZ01102039.1	325	323	74	543	215
CABZ01102109.1	203	177	42	203	799
CABZ01102170.1	2315	2767	374	6425	2860
CABZ01102528.1	1513	573	322	1013	3292
CABZ01103862.1	19	0	5	3	7
CABZ01109019.1	776	492	3	747	4
CABZ01109481.1	1310	11592	442	20753	411
CABZ01109604.1	244	594	92	502	318
CABZ01110379.1	11	26	132	17	37
CABZ01110881.1	69	82	29	151	85
CABZ01111496.1	49	54	18	132	49
CABZ01111953.1	186	5175	34	3641	305
CABZ01111959.1	274	2184	50	2495	123
CABZ01112387.1	73	21	60	76	37
CABZ01113192.1	4008	3716	2493	5533	4823
CABZ01113599.1	7685	10272	2246	15854	8020
CABZ01113771.1	81	55	20	115	73
CABZ01113818.1	836	60	54	165	1899
CABZ01114053.1	788	705	103	1399	805
CABZ01114318.1	103	160	8	258	23
CABZ01115113.1	3803	8307	2580	12118	4701
CABZ01117840.1	136	1503	27	2835	29
CABZ01118001.1	34929	35977	551	38772	33344
CABZ01118575.1	12	5	6	3	32
CABZ01118738.1	162	1324	66	7713	283
CAMK2N1	1255	529	29	1750	3062
CCDC189	32	482	79	4562	70
CCDC69	265	415	430	866	256
CCT2	31621	161521	16936	175862	42551
CDC37	3233	8226	2191	10835	4060
CDCP1	185	174	108	1174	303
CDK2AP1	1385	472	1574	1486	3233
CDPF1	4749	19402	1560	28311	3315
CFAP74	30	401	102	3842	139
CHCHD5	3192	8815	2722	7026	2459
CIR1	1756	3559	1130	4895	3171
CKS2	1789	5852	2367	7835	2240
CLDN23	604	2359	71	5821	473
CLDN4	319	396	97	821	453
CNNM1	109	247	6	462	76
COA4	1781	7707	1135	9469	1431
COLEC10	410	937	152	3228	280
COLGALT1	1738	1073	1285	891	2245
COMP	2033	402	2152	890	2834
COX5B	70213	65194	27790	129774	77913
COX7A2	10133	33939	6844	66985	13137
CR293507.1	425	96	132	227	218
CR293509.1	345	861	128	2676	443
CR318588.3	20772	219410	239	368297	2813
CR318588.4	49871	876501	4576	891345	15556
CR318601.1	482	2317	276	712	300
CR318607.1	3	57	2	10	1
CR318653.1	47	31	124	321	54
CR352232.1	11	0	11	5	15
CR352258.1	770	2200	763	3981	1544
CR352263.1	1	15	0	43	0
CR352285.1	746	292	49	339	3636
CR352342.1	21	274	257	281	11
CR354435.1	24	14	142	69	52
CR354435.3	60	7	290	90	89
CR354435.4	29	8	144	47	35
CR354435.6	6	0	39	0	5
CR354444.1	63	173	59	35	71
CR354540.1	144	5468	126	7555	35
CR354542.1	2	7	3	19	12
CR354588.1	3736	20282	499	23413	6002
CR356227.1	24	290	108	163	53
CR356233.1	926	219	29	652	973
CR356236.1	341	3011	66	4057	377
CR376737.1	77	13	86	56	127
CR376740.2	17	324	22	295	42
CR376766.2	488	16	149	124	502
CR377211.3	2	3	11	88	1
CR377211.4	1837	110900	1075	44807	2308
CR381618.1	1888	750	616	2658	5293
CR381647.1	430	91	1013	18	1619
CR381686.4	71	460	86	944	86
CR381686.5	385	7572	93	16052	56
CR382300.1	446	769	1277	1633	1567
CR382300.3	25	97	14	563	25
CR382370.2	5914	7116	887	13385	5120
CR382372.1	155	277	385	1989	554
CR383662.5	157	77	41	1791	128
CR383676.1	826262	4849162	1097648	5205690	3965299
CR383676.2	4091	31159	1535	41104	4827
CR383680.2	59	237	42	713	119
CR385035.1	23	257	46	395	54
CR385050.1	52	148	59	538	61
CR387919.1	125	405	39	873	76
CR387996.1	308	221	35	154	214
CR388029.1	485	660	106	576	519
CR388052.1	84	150	12	109	74
CR388077.1	15	189	61	539	296
CR388132.2	159	231	342	249	434
CR388143.1	177	1710	75	1775	105
CR388166.2	482	4760	321	5995	768
CR388231.3	3	19	3	107	11
CR388373.2	51	41	136	224	118
CR391940.1	1035	6739	488	7686	777
CR391986.1	246	764	248	1412	491
CR391991.4	382	243	85	835	170
CR392042.1	231	102	57	156	241
CR392045.1	18	86	5	63	13
CR394528.1	266	839	56	151	783
CR394546.3	99	102	14	94	42
CR405715.1	3	10	58	10	20
CR407701.1	233	1117	96	895	138
CR450686.3	187	32	601	240	833
CR450764.10	0	0	10	195	2
CR450805.1	6	0	9	35	26
CR450808.1	235	579	95	923	191
CR450808.3	381	3205	293	4151	620
CR450818.1	1659	4178	514	4508	2144
CR536604.1	278	246	196	1519	657
CR548622.1	13	20	19	85	16
CR548622.2	243	994	183	1417	417
CR548634.2	286	328	399	657	217
CR589944.1	2127	4740	460	5662	2335
CR626886.1	54	22	37	350	255
CR628323.3	128	1303	15	1770	52
CR628327.1	21	11	40	33	20
CR628365.1	36	74	23	175	35
CR749163.1	6	3	4	7	8
CR749168.2	2	21	14	22	10
CR749763.5	21	144	50	297	42
CR751227.2	11	29	34	531	30
CR751602.1	135	14	298	30	352
CR751602.2	411	271	1503	295	891
CR753876.1	8735	7834	104	15656	1049
CR753886.1	1673	7535	289	6308	1199
CR759794.1	209	4709	416	7233	538
CR759841.1	82	233	90	455	287
CR759843.2	29	44	44	28	20
CR759875.5	45	15755	31	8736	52
CR759892.1	102	1911	272	92	76
CR759918.1	996	1641	766	2752	2021
CR759927.2	96	0	141	8	830
CR759927.3	821	113	873	101	3409
CR762431.1	174	1016	78	2184	235
CR762436.1	32	14	185	27	85
CR762480.1	12	129	67	240	19
CR762480.2	3	0	45	297	3
CR762483.1	43523	40847	192	47505	17281
CR762497.1	32	87	41	162	48
CR769769.2	574	996	150	751	247
CR769778.1	739	264	27	183	1631
CR786571.3	27	90	35	13	16
CR788230.1	28	24897	50	22033	41
CR788235.1	66	3	82	2	218
CR788249.1	2	1209	24	79	385
CR788316.3	87	36	42	81	208
CR790380.1	1088	1962	517	4442	2191
CR790382.3	1	0	44	2	2
CR792439.1	72	190	38	143	75
CR792441.1	10	517	632	10	121
CR812832.1	188	12	120	27	1401
CR847503.1	111	62	161	184	231
CR847503.2	49	43	18	255	49
CR847543.1	582	850	28	1275	216
CR847566.1	407	479	81	913	568
CR847571.1	5	10	30	252	11
CR847785.1	57	577	28	1850	43
CR847793.1	55	29	320	641	162
CR847895.1	56	9	125	3	86
CR847898.4	5	67	29	915	45
CR847906.1	150	57	14462	153	458
CR847936.1	91	16	63	158	170
CR847936.6	1755	2841	1452	5679	2959
CR847939.1	11	71	18	127	36
CR847953.1	177	344	70	490	185
CR847984.1	73	118	135	2433	139
CR847994.1	152	891	104	1248	189
CR848040.4	3	294	3	220	6
CR848047.1	2910	617	276	632	17072
CR848667.1	280	1932	222	3472	592
CR848705.1	28	12	27	50	25
CR848741.1	7	0	16	0	52
CR848763.1	36	384	38	475	17
CR848788.1	372	146	169	224	200
CR848788.2	13	9	14	3	55
CR848791.3	424	1270	91	990	392
CR848812.1	112	136	75	82	605
CR848836.1	3	0	2	49	0
CR848841.1	265	5835	374	3147	408
CR848844.1	49	110	111	728	120
CR854827.3	291	82	932	188	1070
CR854839.1	771	125	278	1053	936
CR855277.2	53	431	55	0	145
CR855277.3	44	641	66	224	63
CR855307.1	207	414	51	967	132
CR855311.1	13689	1136771	3629	348584	17231
CR855320.3	39	675	5	1042	54
CR855337.1	2120	5927	423	7947	1083
CR855389.1	342	4485	191	3482	812
CR855389.2	185	203	66	313	195
CR855860.1	321	212	33	222	909
CR855996.2	50	1814	2	2759	27
CR925761.3	48	487	26	87	91
CR925761.4	150	314	98	375	232
CR925804.2	485	111	50	72	752
CR925813.1	2678	2912	982	5963	5320
CR926459.1	77	2211	55	2237	140
