"stage","tissue","cell_counts","Total_sum"
" 10-12 hpf","notochord",25.18,1194.96
" 14-21 hpf","notochord",200,1194.96
" 24-34 hpf","notochord",242.97,1194.96
" 36-46 hpf","notochord",207.86,1194.96
" 48-58 hpf","notochord",111.32,1194.96
" 60-70 hpf","notochord",56.93,1194.96
" 72-82 hpf","notochord",42.21,1194.96
" 84-94 hpf","notochord",52.04,1194.96
" 96-106 hpf","notochord",44.81,1194.96
"108-118 hpf","notochord",55.15,1194.96
"120 hpf","notochord",96.03,1194.96
" 14-21 hpf","epidermis",193,605.84
" 24-34 hpf","epidermis",44.33,605.84
" 36-46 hpf","epidermis",16.11,605.84
" 48-58 hpf","epidermis",16.64,605.84
" 60-70 hpf","epidermis",16.69,605.84
" 72-82 hpf","epidermis",40.25,605.84
" 84-94 hpf","epidermis",43.54,605.84
" 96-106 hpf","epidermis",79.78,605.84
"108-118 hpf","epidermis",71.23,605.84
"120 hpf","epidermis",84.27,605.84
"  3-4 hpf","blastomeres",210.85,582.11
"  5-6 hpf","blastomeres",337.13,582.11
"  7-9 hpf","blastomeres",18.4,582.11
" 10-12 hpf","blastomeres",15.73,582.11
" 14-21 hpf","otic",122,437.93
" 24-34 hpf","otic",58.28,437.93
" 36-46 hpf","otic",15.31,437.93
" 48-58 hpf","otic",16.07,437.93
" 60-70 hpf","otic",20.61,437.93
" 72-82 hpf","otic",21.6,437.93
" 84-94 hpf","otic",40.36,437.93
" 96-106 hpf","otic",42.62,437.93
"108-118 hpf","otic",52.09,437.93
"120 hpf","otic",48.99,437.93
" 14-21 hpf","periderm",25,405.8
" 24-34 hpf","periderm",26.27,405.8
" 36-46 hpf","periderm",30.62,405.8
" 48-58 hpf","periderm",22.95,405.8
" 60-70 hpf","periderm",41.22,405.8
" 72-82 hpf","periderm",32.39,405.8
" 84-94 hpf","periderm",86.03,405.8
" 96-106 hpf","periderm",63.39,405.8
"108-118 hpf","periderm",36.77,405.8
"120 hpf","periderm",41.16,405.8
"  5-6 hpf","paraxial mesoderm",6.13,196.56
"  7-9 hpf","paraxial mesoderm",68.35,196.56
" 10-12 hpf","paraxial mesoderm",100.7,196.56
" 14-21 hpf","paraxial mesoderm",20,196.56
" 36-46 hpf","paraxial mesoderm",0.81,196.56
" 48-58 hpf","paraxial mesoderm",0.57,196.56
" 10-12 hpf","presomitic mesoderm",3.15,170.81
" 14-21 hpf","presomitic mesoderm",163,170.81
" 24-34 hpf","presomitic mesoderm",3.28,170.81
" 36-46 hpf","presomitic mesoderm",0.81,170.81
" 48-58 hpf","presomitic mesoderm",0.57,170.81
" 24-34 hpf","fin mesenchyme",9.03,139.26
" 36-46 hpf","fin mesenchyme",13.7,139.26
" 48-58 hpf","fin mesenchyme",18.94,139.26
" 60-70 hpf","fin mesenchyme",12.76,139.26
" 72-82 hpf","fin mesenchyme",22.58,139.26
" 84-94 hpf","fin mesenchyme",19.12,139.26
" 96-106 hpf","fin mesenchyme",16.39,139.26
"108-118 hpf","fin mesenchyme",13.02,139.26
"120 hpf","fin mesenchyme",13.72,139.26
" 36-46 hpf","mural cell",2.42,135.59
" 48-58 hpf","mural cell",12.05,135.59
" 60-70 hpf","mural cell",18.65,135.59
" 72-82 hpf","mural cell",27.49,135.59
" 84-94 hpf","mural cell",28.68,135.59
" 96-106 hpf","mural cell",15.3,135.59
"108-118 hpf","mural cell",15.32,135.59
"120 hpf","mural cell",15.68,135.59
" 48-58 hpf","vascular smooth muscle",1.15,93.43
" 60-70 hpf","vascular smooth muscle",11.78,93.43
" 72-82 hpf","vascular smooth muscle",15.71,93.43
" 84-94 hpf","vascular smooth muscle",21.24,93.43
" 96-106 hpf","vascular smooth muscle",10.93,93.43
"108-118 hpf","vascular smooth muscle",13.02,93.43
"120 hpf","vascular smooth muscle",19.6,93.43
" 14-21 hpf","gut",12,87.15
" 24-34 hpf","gut",0.82,87.15
" 36-46 hpf","gut",1.61,87.15
" 48-58 hpf","gut",0.57,87.15
" 60-70 hpf","gut",2.94,87.15
" 72-82 hpf","gut",8.83,87.15
" 84-94 hpf","gut",11.68,87.15
" 96-106 hpf","gut",20.76,87.15
"108-118 hpf","gut",12.26,87.15
"120 hpf","gut",15.68,87.15
"  5-6 hpf","axial",42.91,78.74
"  7-9 hpf","axial",34.17,78.74
" 48-58 hpf","axial",0.57,78.74
" 96-106 hpf","axial",1.09,78.74
" 24-34 hpf","fin epithelia",7.39,76.76
" 36-46 hpf","fin epithelia",8.06,76.76
" 48-58 hpf","fin epithelia",7.46,76.76
" 60-70 hpf","fin epithelia",5.89,76.76
" 72-82 hpf","fin epithelia",4.91,76.76
" 84-94 hpf","fin epithelia",10.62,76.76
" 96-106 hpf","fin epithelia",7.65,76.76
"108-118 hpf","fin epithelia",13.02,76.76
"120 hpf","fin epithelia",11.76,76.76
" 14-21 hpf","vasculature",5,75.56
" 24-34 hpf","vasculature",26.27,75.56
" 36-46 hpf","vasculature",10.47,75.56
" 48-58 hpf","vasculature",6.89,75.56
" 60-70 hpf","vasculature",4.91,75.56
" 72-82 hpf","vasculature",3.93,75.56
" 84-94 hpf","vasculature",5.31,75.56
" 96-106 hpf","vasculature",5.46,75.56
"108-118 hpf","vasculature",5.36,75.56
"120 hpf","vasculature",1.96,75.56
" 14-21 hpf","ionocyte",4,69.17
" 24-34 hpf","ionocyte",6.57,69.17
" 36-46 hpf","ionocyte",1.61,69.17
" 48-58 hpf","ionocyte",1.72,69.17
" 60-70 hpf","ionocyte",3.93,69.17
" 72-82 hpf","ionocyte",5.89,69.17
" 84-94 hpf","ionocyte",11.68,69.17
" 96-106 hpf","ionocyte",9.84,69.17
"108-118 hpf","ionocyte",16.09,69.17
"120 hpf","ionocyte",7.84,69.17
" 10-12 hpf","pronephros",12.59,59.81
" 14-21 hpf","pronephros",12,59.81
" 24-34 hpf","pronephros",5.75,59.81
" 36-46 hpf","pronephros",5.64,59.81
" 48-58 hpf","pronephros",0.57,59.81
" 60-70 hpf","pronephros",2.94,59.81
" 72-82 hpf","pronephros",0.98,59.81
" 96-106 hpf","pronephros",5.46,59.81
"108-118 hpf","pronephros",9.96,59.81
"120 hpf","pronephros",3.92,59.81
"  7-9 hpf","hatching gland",39.43,52.65
" 10-12 hpf","hatching gland",9.44,52.65
" 14-21 hpf","hatching gland",1,52.65
" 24-34 hpf","hatching gland",0.82,52.65
" 72-82 hpf","hatching gland",1.96,52.65
" 14-21 hpf","erythrocytes",20,51.44
" 24-34 hpf","erythrocytes",4.93,51.44
" 48-58 hpf","erythrocytes",1.72,51.44
" 60-70 hpf","erythrocytes",1.96,51.44
" 72-82 hpf","erythrocytes",1.96,51.44
" 84-94 hpf","erythrocytes",7.43,51.44
" 96-106 hpf","erythrocytes",7.65,51.44
"108-118 hpf","erythrocytes",3.83,51.44
"120 hpf","erythrocytes",1.96,51.44
"  7-9 hpf","endoderm",2.63,50.87
" 10-12 hpf","endoderm",18.88,50.87
" 14-21 hpf","endoderm",23,50.87
" 24-34 hpf","endoderm",2.46,50.87
" 72-82 hpf","endoderm",0.98,50.87
" 84-94 hpf","endoderm",1.06,50.87
" 96-106 hpf","endoderm",1.09,50.87
"108-118 hpf","endoderm",0.77,50.87
" 24-34 hpf","liver",3.28,43.22
" 36-46 hpf","liver",4.03,43.22
" 48-58 hpf","liver",5.16,43.22
" 60-70 hpf","liver",2.94,43.22
" 72-82 hpf","liver",1.96,43.22
" 84-94 hpf","liver",4.25,43.22
" 96-106 hpf","liver",3.28,43.22
"108-118 hpf","liver",4.6,43.22
"120 hpf","liver",13.72,43.22
" 24-34 hpf","olfactory",5.75,38.24
" 36-46 hpf","olfactory",2.42,38.24
" 48-58 hpf","olfactory",2.87,38.24
" 60-70 hpf","olfactory",2.94,38.24
" 72-82 hpf","olfactory",0.98,38.24
" 84-94 hpf","olfactory",3.19,38.24
" 96-106 hpf","olfactory",7.65,38.24
"108-118 hpf","olfactory",4.6,38.24
"120 hpf","olfactory",7.84,38.24
" 24-34 hpf","fast muscle",0.82,33.55
" 48-58 hpf","fast muscle",5.74,33.55
" 60-70 hpf","fast muscle",7.85,33.55
" 72-82 hpf","fast muscle",2.94,33.55
" 84-94 hpf","fast muscle",2.12,33.55
" 96-106 hpf","fast muscle",4.37,33.55
"108-118 hpf","fast muscle",3.83,33.55
"120 hpf","fast muscle",5.88,33.55
" 14-21 hpf","heart",3,32.1
" 24-34 hpf","heart",2.46,32.1
" 36-46 hpf","heart",3.22,32.1
" 48-58 hpf","heart",1.72,32.1
" 60-70 hpf","heart",5.89,32.1
" 72-82 hpf","heart",2.94,32.1
" 96-106 hpf","heart",5.46,32.1
"108-118 hpf","heart",1.53,32.1
"120 hpf","heart",5.88,32.1
" 72-82 hpf","exocrine pancreas",0.98,31.14
" 84-94 hpf","exocrine pancreas",4.25,31.14
" 96-106 hpf","exocrine pancreas",4.37,31.14
"108-118 hpf","exocrine pancreas",17.62,31.14
"120 hpf","exocrine pancreas",3.92,31.14
" 48-58 hpf","pericytes",1.15,28.9
" 60-70 hpf","pericytes",1.96,28.9
" 72-82 hpf","pericytes",10.8,28.9
" 84-94 hpf","pericytes",3.19,28.9
" 96-106 hpf","pericytes",3.28,28.9
"108-118 hpf","pericytes",4.6,28.9
"120 hpf","pericytes",3.92,28.9
" 24-34 hpf","immune",0.82,26
" 36-46 hpf","immune",1.61,26
" 48-58 hpf","immune",1.15,26
" 60-70 hpf","immune",2.94,26
" 72-82 hpf","immune",0.98,26
" 84-94 hpf","immune",2.12,26
" 96-106 hpf","immune",4.37,26
"108-118 hpf","immune",6.13,26
"120 hpf","immune",5.88,26
" 24-34 hpf","lateral line",1.64,21.44
" 36-46 hpf","lateral line",1.61,21.44
" 48-58 hpf","lateral line",2.3,21.44
" 72-82 hpf","lateral line",0.98,21.44
" 84-94 hpf","lateral line",1.06,21.44
" 96-106 hpf","lateral line",3.28,21.44
"108-118 hpf","lateral line",0.77,21.44
"120 hpf","lateral line",9.8,21.44
" 14-21 hpf","slow muscle",11,20.36
" 24-34 hpf","slow muscle",3.28,20.36
" 36-46 hpf","slow muscle",1.61,20.36
" 48-58 hpf","slow muscle",0.57,20.36
" 72-82 hpf","slow muscle",0.98,20.36
" 84-94 hpf","slow muscle",1.06,20.36
" 96-106 hpf","slow muscle",1.09,20.36
"108-118 hpf","slow muscle",0.77,20.36
" 60-70 hpf","visceral smooth muscle",0.98,19.85
" 72-82 hpf","visceral smooth muscle",0.98,19.85
" 84-94 hpf","visceral smooth muscle",8.5,19.85
" 96-106 hpf","visceral smooth muscle",4.37,19.85
"108-118 hpf","visceral smooth muscle",3.06,19.85
"120 hpf","visceral smooth muscle",1.96,19.85
" 72-82 hpf","taste",2.94,17.95
" 84-94 hpf","taste",2.12,17.95
" 96-106 hpf","taste",4.37,17.95
"108-118 hpf","taste",4.6,17.95
"120 hpf","taste",3.92,17.95
" 24-34 hpf","iridophores",2.46,17.1
" 48-58 hpf","iridophores",0.57,17.1
" 72-82 hpf","iridophores",0.98,17.1
" 84-94 hpf","iridophores",4.25,17.1
" 96-106 hpf","iridophores",1.09,17.1
"108-118 hpf","iridophores",3.83,17.1
"120 hpf","iridophores",3.92,17.1
" 36-46 hpf","xanthophores",0.81,16.33
" 48-58 hpf","xanthophores",3.44,16.33
" 60-70 hpf","xanthophores",2.94,16.33
" 72-82 hpf","xanthophores",3.93,16.33
" 84-94 hpf","xanthophores",1.06,16.33
" 96-106 hpf","xanthophores",1.09,16.33
"108-118 hpf","xanthophores",3.06,16.33
" 14-21 hpf","endocrine pancreas",1,15.72
" 24-34 hpf","endocrine pancreas",0.82,15.72
" 36-46 hpf","endocrine pancreas",0.81,15.72
" 72-82 hpf","endocrine pancreas",2.94,15.72
" 84-94 hpf","endocrine pancreas",4.25,15.72
" 96-106 hpf","endocrine pancreas",4.37,15.72
"108-118 hpf","endocrine pancreas",1.53,15.72
" 24-34 hpf","mucous",0.82,9.8
" 36-46 hpf","mucous",0.81,9.8
" 48-58 hpf","mucous",0.57,9.8
" 60-70 hpf","mucous",1.96,9.8
" 72-82 hpf","mucous",1.96,9.8
" 84-94 hpf","mucous",1.06,9.8
" 96-106 hpf","mucous",1.09,9.8
"108-118 hpf","mucous",1.53,9.8
" 14-21 hpf","melanocytes",1,5.4
" 36-46 hpf","melanocytes",0.81,5.4
" 48-58 hpf","melanocytes",0.57,5.4
" 60-70 hpf","melanocytes",0.98,5.4
" 72-82 hpf","melanocytes",0.98,5.4
" 84-94 hpf","melanocytes",1.06,5.4
" 36-46 hpf","pgc",0.81,0.81
